"code","iso","country","USD.ind.1996","USD.ind.1997","USD.ind.1998","USD.ind.1999","USD.ind.2000","USD.ind.2001","USD.ind.2002","USD.ind.2003","USD.ind.2004","USD.ind.2005","USD.ind.2006","USD.ind.2007","USD.ind.2008","USD.ind.2009","USD.ind.2010","USD.ind.2011","USD.ind.2012","USD.ind.2013","USD.ind.2014","USD.ind.2015","USD.ind.2016","USD.ind.2017","USD.ind.2018","USD.ind.2019","USD.ind.2020","USD.ind.2021","USD.ind.2022","USD.ind.2023","USD.ind.2024","USD.ind.2025"
4,"AFG","Afghanistan",12.9937236249904,13.4525032162665,13.8206927292395,14.0604869828129,14.465531489835,15.0228621662535,16.4692404831346,15.8496911904499,16.3098279803566,17.5272671505153,19.0625595336136,20.5226991926462,22.1639189878187,23.5343702084732,24.2615418219265,24.6017832638426,24.9416632938183,24.3939113480604,24.3464241086756,24.4255413044363,24.4043843006531,24.7563707154333,25.6855998466113,26.4256315249907,27.3154034442088,28.3976493996596,29.7091037008825,30.5208811499676,NA,NA
8,"ALB","Albania",46.7690609468989,48.5689826051484,50.3881025985373,52.1265411734455,53.6349779319023,55.6304461878,57.5369198752071,59.4127001447815,61.5053980758034,63.4580146645016,65.171382378346,66.7498188381334,67.9478324158439,68.3394613733565,68.6390871433224,68.8180385845563,68.9810595003517,69.1219416597759,69.348776511117,69.5805332525471,69.8310059102446,70.1772701474629,71.1206373139111,72.3109749745443,73.3328425823499,74.7174890703279,76.1893778407649,77.2813135389785,NA,NA
12,"DZA","Algeria",43.2754108566434,43.9957338745869,44.9865071828627,46.1121041419868,47.2778252081634,48.3412682442964,49.4918408288176,50.4716229821367,51.2713798240909,52.2365651364512,53.1952268818424,54.1285509953338,55.0767792170856,56.0376071178938,56.9001126011201,57.7991633030245,58.6258510681156,59.2001040812067,59.7602001294394,60.3654002285168,61.1063015708573,61.924071362154,62.6560865501899,63.4490133467606,64.0706405192436,64.5993546201585,65.0673193007046,65.6943440275527,NA,NA
20,"AND","Andorra",90.6122168538247,90.8774257991576,91.1473556166591,91.4119267890228,91.6577921642654,91.9303149783735,92.512352902921,92.8584398056356,93.3000204128415,93.7912083217391,94.3123121095353,94.8312588108865,95.3619900854432,95.8982798818597,96.5208476180039,97.2335911087271,97.5233121968642,97.7180633308318,97.9722027600413,98.1986966219574,98.5066685784667,98.8584459568228,99.3074279647072,99.7313124633534,100,100,100,100,NA,NA
24,"AGO","Angola",3.64049357170721,4.27068683932679,4.4580752149421,4.92896856402939,5.49662837561513,6.19057476883555,6.82092230108593,7.46798469322164,7.52020402944493,8.20843703034714,7.79402053072523,8.82622204175203,9.56394433053299,10.1320266279707,10.6458285158417,11.3956968765484,12.394196881761,13.4558180012954,14.8872896431768,15.9178340195919,17.1448051756393,18.2908597837687,19.4377690487248,20.1910525610834,20.721254778756,21.722046165275,22.7304114632295,23.3076187703696,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",43.1233514921257,44.1315171395415,45.1502250744167,46.5295196494223,47.8919141541179,49.4768061001329,50.5189444680629,50.8420210130359,51.2159995136058,51.0919749372467,51.5026931373408,52.1078439725251,52.8207673108426,53.616722478944,54.1864080404716,54.3586716229566,54.8402780371661,55.3326952974774,56.0255888305667,56.7704140846188,57.1751622308869,57.6487381700784,58.1889852004696,57.7190585731144,57.3771431262436,58.0985979168416,58.1573186184209,58.3739066673036,NA,NA
32,"ARG","Argentina",48.2285338171188,47.8099769631784,48.5517481025261,49.3777926844448,50.4949209118782,51.0946766826529,51.7322824773662,52.8887906633542,54.3412057481904,55.5284608985691,56.4925194712436,57.5468328492042,58.3045077008966,59.1422104583015,60.1112093638825,60.9815242222993,61.8579509862827,62.3940026538969,63.042218612944,64.0867798791884,65.3855997754584,66.7662867760719,68.7530209232498,70.7133092522561,72.2645991952324,72.3643108080722,72.0992965615698,72.7631716381807,NA,NA
51,"ARM","Armenia",33.1262799689189,34.30243256058,36.2057264361194,38.1177625718415,40.0357289998811,41.4768323088114,43.5164752520789,45.0678472581424,45.9124502616337,46.3467934198969,47.8858027197142,51.1945606506606,53.0270462443791,55.5271353739951,58.0510799107729,58.9788122016357,62.2435973251649,63.8380084969555,64.7563284278825,65.871869641897,65.7206608000482,67.3320785680999,68.0215962318114,68.5192899159911,68.1218167937298,67.9203043251362,66.3768914191647,66.4477308169317,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",66.4280691963487,67.2457624730965,68.0351181221683,68.6350201680171,69.2619919940288,69.3161883541041,68.581361417534,67.3836490480366,66.4914481345926,66.2273644516162,66.5105067382448,67.0494257147791,68.1830467020275,69.5132721521857,70.9226551615013,72.2064988050803,73.6220466110081,75.5075001143322,77.0298143028686,78.239495033736,79.0852318216934,79.7135299518085,80.4364468722686,81.0300835272966,81.5539353083161,81.8120547582621,82.0439034738046,82.3371548360099,NA,NA
