"code","iso","country","SDA.ind.1996","SDA.ind.1997","SDA.ind.1998","SDA.ind.1999","SDA.ind.2000","SDA.ind.2001","SDA.ind.2002","SDA.ind.2003","SDA.ind.2004","SDA.ind.2005","SDA.ind.2006","SDA.ind.2007","SDA.ind.2008","SDA.ind.2009","SDA.ind.2010","SDA.ind.2011","SDA.ind.2012","SDA.ind.2013","SDA.ind.2014","SDA.ind.2015","SDA.ind.2016","SDA.ind.2017","SDA.ind.2018","SDA.ind.2019","SDA.ind.2020","SDA.ind.2021","SDA.ind.2022","SDA.ind.2023","SDA.ind.2024","SDA.ind.2025"
218,"ECU","Ecuador",NA,NA,NA,14.0460383428801,24.4852415526791,31.9443696150813,36.394300630093,48.3620302926286,56.0992775603842,57.3150143003354,51.4382591678688,42.2167675417768,34.4081199338879,26.334916055657,24.7006585150329,22.6960218389037,20.677436173539,21.3058814418169,22.6209638681319,25.3448181687092,31.3787731888691,41.624259397907,51.0657068423896,59.2971909634217,69.2044099989423,73.4381255036077,70.958286975136,63.3428729500401,NA,NA
818,"EGY","Egypt",NA,NA,NA,44.6543711045241,44.8259903259173,47.6295431280715,48.524384394688,50.1702165715808,50.8276121986586,50.446949995447,48.7800215161044,42.2217433096593,28.9288343397901,18.1307892635842,14.5194325785011,19.7467299776509,23.8231567685876,29.2903198824386,24.9098969435716,26.9233201518473,33.3363136037264,45.479402009615,61.7464830281008,80.9731921963261,100,100,96.2676692895268,83.0827769254553,NA,NA
222,"SLV","El Salvador",NA,NA,NA,0,4.91972856585512,8.94119841681881,10.7348394831403,13.4778492517052,18.1822014835594,19.5667374566082,24.4570602040183,19.6998997070135,22.9333399996824,32.0571322947255,44.2488777310911,52.0256789310364,56.176328923413,62.1686199332714,67.7703638025738,69.1500855445652,64.361974555219,67.4642945230343,75.3758979147223,75.8424605571282,86.4844216924602,89.2852290231771,82.8349958707235,84.9057904941939,NA,NA
226,"GNQ","Equatorial Guinea",NA,NA,NA,1.44300400570675,0,0,0,0,0,0,0,0,0,9.51196329921524,34.1533968638687,92.8933660350022,100,92.0099436513353,77.5763139095075,74.9245022238269,70.3407773402063,58.1029119328915,48.466218165189,47.7400359104012,49.0611070522686,49.0537195724203,48.9560059366836,49.0261778966008,NA,NA
232,"ERI","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,"EST","Estonia",NA,NA,NA,83.3171194932491,100,94.1109888967173,87.5831470907146,78.6109671671644,71.7298656384749,75.3819426831733,75.867898344282,68.0087206159973,69.6762180959002,78.3220186817936,70.449629597272,68.4108049428137,84.8882166761212,86.2277685068478,88.3143287681969,96.0766578179486,99.8980620263949,92.7303508149192,91.3148479974217,100,100,100,100,100,NA,NA
748,"SWZ","Eswatini",NA,NA,NA,30.5120878802181,36.9253287822747,38.475730731204,53.035248823488,78.5492421580991,77.6164821126121,76.0222761600996,77.0926125856903,77.1279749999698,75.2306250164956,70.3278401094408,86.1149072917023,91.3271349558695,90.8267124973989,89.9601621909629,85.469415537174,82.7114112180179,75.9418051486022,69.5838162154815,59.9196712920324,46.0595761871655,56.8874223806621,63.6902685348401,62.5406728399916,60.1535839199342,NA,NA
231,"ETH","Ethiopia",NA,NA,NA,32.2835342697456,22.9177482493945,8.43536497016703,13.4564005059543,17.6904138124042,17.3149407185842,17.4937117110691,17.5843359124966,18.8985341594708,18.0493057150691,20.4833942178699,23.5293932627298,21.461576496076,19.8736113221961,18.2707200246211,19.3142369512303,23.6286632463253,24.6915327230012,28.5979638713715,28.0555386629687,27.380366292234,31.4111059863389,31.1243161847523,32.1597715605068,30.2138652779989,NA,NA
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1378443446395,52.5470899272286,51.8968697290198,51.2424996885694,50.663321194017,50.2302250689044,50.0000653867574,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",NA,NA,NA,44.1421529331751,39.8448054886793,32.1068421725395,33.2047601273979,29.9565231445242,20.5213420177818,8.90611497211411,1.96716633117614,18.9578307790871,43.4148701468021,72.1204778485802,83.0011395855548,84.5670978420385,91.0144047951321,93.3902171813907,83.2746011614771,64.5278862662738,42.4972919640753,32.4934925379338,25.4722518219901,34.4690293271837,37.5118830713808,46.200824289985,51.4524487921319,55.9706366827531,NA,NA
