"code","iso","country","UWD.ind.1996","UWD.ind.1997","UWD.ind.1998","UWD.ind.1999","UWD.ind.2000","UWD.ind.2001","UWD.ind.2002","UWD.ind.2003","UWD.ind.2004","UWD.ind.2005","UWD.ind.2006","UWD.ind.2007","UWD.ind.2008","UWD.ind.2009","UWD.ind.2010","UWD.ind.2011","UWD.ind.2012","UWD.ind.2013","UWD.ind.2014","UWD.ind.2015","UWD.ind.2016","UWD.ind.2017","UWD.ind.2018","UWD.ind.2019","UWD.ind.2020","UWD.ind.2021","UWD.ind.2022","UWD.ind.2023","UWD.ind.2024","UWD.ind.2025"
4,"AFG","Afghanistan",13.6188197448386,14.0981296070197,14.4873705916143,14.7297195953673,15.1661913184401,15.7502108075771,17.2693231944911,16.6060106663639,17.0791960335763,18.3663772606541,19.9802809839,21.5317039937337,23.2469481705064,24.6880400159869,25.421460916761,25.7580720022635,26.0782730181726,25.4679828148214,25.373303297747,25.4205896143543,25.3816597517926,25.7318620068635,26.7070703704319,27.4621063006786,28.3937456896191,29.546191142418,30.9511012001865,31.8185530127588,NA,NA
8,"ALB","Albania",45.5367404513202,47.3385153108244,49.0849770608892,50.6766919260916,52.0017437269998,53.7011740679197,55.2994279306807,56.8191341521255,58.5096672125708,60.2464429260833,61.8800910401064,63.3932527257508,64.5384425941039,64.7646455659211,64.9111440221618,64.9404207053983,64.9250980674765,64.8992994082651,64.9466061201616,65.0038721052756,65.0753553134954,65.2410827182548,66.0088525966911,67.0592392575065,67.9782615395733,69.2550657446468,70.6539046385901,71.6465607962688,NA,NA
12,"DZA","Algeria",43.2312864825486,43.5235261844082,44.0957366516488,44.8170515623296,45.5807032445832,46.2430166870185,47.0172524426131,47.6075708087701,48.0232417127619,48.5976163468845,49.1378221058644,49.5940260171621,50.0280239055952,50.4489146614931,50.7806844659285,51.1142701148577,51.4006656761248,51.6839767002227,51.9324239700235,52.1870694640781,52.5440972862117,52.9457214208009,53.2202810758871,53.5540936752991,53.9239176152654,54.1626425346378,54.3927645429674,54.8253706768285,NA,NA
20,"AND","Andorra",95.6288837147571,95.9097719864523,96.1924022805008,96.4542250647038,96.7066195307598,96.9275971425831,96.9092412544917,96.8947449453026,97.0065705221899,97.1469150265022,97.3492974759842,97.5303535769516,97.7127142530978,97.8927131742736,98.1163152863249,98.3656602826342,98.4466351526556,98.4977486057977,98.5990836472651,98.6600219643812,98.8347920945984,99.0755068362807,99.3969711904416,99.6959197262101,100,100,100,100,NA,NA
24,"AGO","Angola",3.49188126621102,4.14296026304032,4.31792928530635,4.80356960724176,5.38097189023118,6.09142273265107,6.73291673894528,7.38519674815636,7.39717095901666,8.08121199514255,7.56949437226379,8.58737779226273,9.2907245078473,9.82873391742629,10.2782682312878,10.9662274148544,11.8806933960714,12.8512532422514,14.1954840075191,15.0723788161017,16.2751283428688,17.3894325123148,18.5107573210624,19.2206994920144,19.661109239466,20.6236631162553,21.6302442298283,22.2277081000453,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",44.8746592510144,46.0820375574448,47.2939973860845,48.8779821456593,50.4422494148835,52.26266291368,53.2138063732853,53.3958930675676,53.6186650956094,53.2856436824096,53.497333512782,53.927807203472,54.4381446851907,55.0197883163408,55.3694431746433,55.3057383341028,55.5787647274872,55.8926154577581,56.4599768760221,57.1347885135057,57.4315846644667,57.814493503694,58.2443072494215,57.5660087224117,57.1640232842509,57.8793413974297,57.868912251363,58.0230443779096,NA,NA
32,"ARG","Argentina",48.7378597743625,48.2190448568951,48.9211739311504,49.7197338065091,50.8125324101279,51.36684859193,51.7016237744388,52.689398326673,53.9126307079602,54.6911183405483,55.2368779036185,55.9348875831969,56.2527712395191,56.6240390589665,57.0176664617773,57.7161769181055,58.4832852876058,58.9363881487485,59.4419856719208,60.2147010184379,61.2398312581836,62.3376250979136,63.9483539385793,65.4389187125348,66.7627236527544,66.6926551873553,66.318882233865,66.9425263997815,NA,NA
51,"ARM","Armenia",35.7397225136223,36.9200369136317,38.8662385248857,40.8059017540684,42.7331608574704,44.3552793143205,46.711717962859,48.5407842151108,49.5820721588167,50.1803605646085,51.8637558742024,55.4190882156929,57.4139474684697,60.1529566769621,62.9409858059366,63.9170398635631,67.5898652844226,69.5104985584804,70.7411445907255,72.1913281007123,71.9770725653901,73.6387713903572,74.3070688548732,74.7777164167154,74.3029544391743,74.0355666254112,72.3399094636359,72.3764265946816,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
