"code","iso","country","GPC.raw.1990","GPC.raw.1991","GPC.raw.1992","GPC.raw.1993","GPC.raw.1994","GPC.raw.1995","GPC.raw.1996","GPC.raw.1997","GPC.raw.1998","GPC.raw.1999","GPC.raw.2000","GPC.raw.2001","GPC.raw.2002","GPC.raw.2003","GPC.raw.2004","GPC.raw.2005","GPC.raw.2006","GPC.raw.2007","GPC.raw.2008","GPC.raw.2009","GPC.raw.2010","GPC.raw.2011","GPC.raw.2012","GPC.raw.2013","GPC.raw.2014","GPC.raw.2015","GPC.raw.2016","GPC.raw.2017","GPC.raw.2018","GPC.raw.2019","GPC.raw.2020","GPC.raw.2021","GPC.raw.2022","GPC.raw.2023","GPC.raw.2024"
36,"AUS","Australia",36267.7410592234,35670.6678637309,35426.2848289008,36533.1468283451,37622.6524772938,38653.3366778658,39663.1617728168,40773.5660516519,42257.1718122395,43899.073794405,45099.0752097084,45428.2000837579,46688.3947760633,47581.2285345879,49061.2761503925,49997.0664953939,50693.72486498,51663.2403953879,52473.3819160774,52407.9115378584,52739.2681556131,53257.0473237603,54403.8836902434,54895.0052588984,55489.0688441462,55879.9958817102,56529.9518246869,56881.8569859105,57647.8455068104,58048.6188420832,57260.4650530109,58327.4146842324,60039.1060847987,60701.227870378,60286.2550316927
40,"AUT","Austria",43258.1751068054,44302.421470472,44734.8538849803,44601.2068091389,45497.1385930997,46639.532183902,47608.6310978165,48575.1588721006,50216.6986894125,52004.5327523874,53534.3421055423,54032.1515612713,54565.0769851287,54919.7872512396,55980.2317146014,56890.2794433829,58460.2370782474,60470.9099906714,61157.9873105684,58810.4422020872,59730.5512005635,61272.2584397775,61376.7207131054,60863.0547666965,60845.6597729815,60951.6892510506,61572.7121353063,62535.8983176842,63778.0257051746,64609.374295614,60276.4153459141,62968.9422311893,65694.5513287254,64536.2981841434,63784.6038076518
31,"AZE","Azerbaijan",10776.0677018086,10559.2119361527,8050.21624195194,6097.48622316834,4830.69940287625,4211.72114349636,4223.5229711304,4425.5882352872,4822.1601856452,5133.74812032569,5656.92989378687,6168.98512059749,6701.08174444207,7329.40601818943,7937.8594791002,10054.1003389401,13371.6585214535,16587.3657240228,17963.0208126839,19242.3900077232,19925.3900662137,19358.0778100345,19523.3737161356,20398.6462250349,20709.2016112321,20678.7539572375,19822.4105943941,19659.0048562768,19781.8509058437,20101.4918751471,19126.096851126,20111.3756952109,21051.2442291612,21310.7386915023,22072.105849083
44,"BHS","Bahamas",33072.1596125382,31148.9052622825,29412.8804985918,28955.3510589021,29346.3604837079,30128.1935557246,30907.8208035756,30839.0247952491,31836.5264901331,33657.8045888741,34597.1621145275,35072.3658990462,35610.6786425645,34740.763553538,34617.8051137459,35365.4663980218,35789.1322131898,35797.1189720729,34498.0351399173,32630.2630659789,32711.4592459383,32535.6625139136,33667.5547098911,32402.9163503107,32712.6356664811,32777.5849410743,32172.3365152976,33050.0350128612,33650.2164350935,33202.4902105069,26452.6957609289,31064.6822166194,34342.9285316568,35221.2696932313,36244.0500123245
48,"BHR","Bahrain",41856.5445077199,47644.0234716882,49511.9474019626,54433.1375084972,52886.5789027329,53537.6828948177,54289.4380390309,54512.8551056889,55638.6935860684,56522.2261899823,57968.9956082135,57280.6986707494,55096.6571550779,54431.8763559658,54045.092888858,53478.2662415503,52691.9323366852,52731.7921672618,52765.3899455546,50665.750748922,50704.8479679819,53132.3284162611,54516.8406594788,55376.4005147894,55065.8189472129,54149.913152472,54107.0752236423,53859.7749589601,54893.0724411368,56749.9628370612,53814.2452592358,54954.6757895532,57572.9979810179,57819.9051831242,58891.8304860736
50,"BGD","Bangladesh",2069.78230100672,2101.38366035658,2174.38232866943,2234.81012192249,2279.09435302944,2351.70387946903,2413.54298201505,2475.59574602489,2555.06119218283,2624.06553797638,2712.93512215725,2803.55471950946,2866.43454328716,2958.91503115633,3071.83778764611,3231.61370692891,3407.4273502159,3608.915438194,3787.9382761855,3942.13631207204,4125.46390163202,4352.42643359325,4592.04840919811,4822.72621378266,5068.63965672741,5352.71133299565,5682.53553494306,6005.70718781049,6392.59334024092,6838.32611608244,7015.19792797057,7441.06913961251,7888.16389098303,8242.39798977243,8486.78495660517
52,"BRB","Barbados",19613.2480547673,18790.868541122,17660.3232739416,17748.5545234391,18064.4007339676,18398.7507400297,19112.5029984541,20010.2158345921,20752.8095915976,20815.8353874873,21779.2203006868,21234.708034436,21262.3089250843,21591.7915931807,21771.9014007178,22514.483943994,23766.6070131111,24145.753990727,24171.6517995745,22840.8841002763,22243.4579670706,22102.4817004397,21286.3318932135,20854.5676341718,20959.9650372142,20666.9651609373,20930.6336692679,21035.7933581451,20727.4216338412,20737.9776890352,17728.0729247569,17682.7314537483,20716.2851304966,21318.6724772625,21837.7254102057
112,"BLR","Belarus",12351.6357110064,12197.7877887633,11002.6017626136,10143.9840118445,8967.73072971832,8061.19604112609,8314.85656685026,9301.32717519867,10128.1560469563,10519.7489145442,11182.4548339393,11771.0872003861,12443.9322575939,13413.9265504854,15052.1182160947,16579.8731683834,18349.8719060634,20019.6111676728,22137.9472928315,22236.8387691136,24012.6133040213,25404.7566082412,25879.1319400701,26147.6253584645,26564.4347246547,25513.2132958317,24846.8301529359,25503.9809845207,26363.4629778536,26798.8206398076,26731.4953869922,27611.1801135158,26537.5083081674,27782.4380139967,29037.5291407883
56,"BEL","Belgium",41640.0583572133,42246.076049685,42719.0486134245,42143.196061205,43369.2759444308,44310.6278688275,44808.5243580349,46396.0021283993,47205.3098527353,48765.7668571996,50455.7338920672,50835.3969916061,51471.8532550932,51788.8439641973,53406.6918625201,54346.8934219286,55367.6227467907,56983.4612170061,56787.7366257414,55258.7071019666,56240.203093624,56585.3025000678,56356.8251292135,56263.1752679668,57002.9092185204,57509.0245728702,57901.4976903148,58529.3302957534,59357.6896884394,60479.9769955466,57333.5424137922,60669.2137746531,62561.7810453237,63055.3790430416,63250.5307912925
84,"BLZ","Belize",8251.6176253947,9028.07343837564,9967.77779283554,10366.8590598807,10146.3996755203,9967.84688088642,9782.64416029652,9862.26634546876,9894.59919785028,10460.6346102795,11363.6868781615,11567.0265720608,11828.1865744067,12589.2679378206,12807.1658774385,12714.9697390831,12912.5300233774,12973.2067214746,12415.6811300464,12033.9096816588,11913.663595906,11641.7717375703,11843.4153404212,12064.797259406,12272.2957895446,12348.7944978311,12063.0600374093,11572.3007931461,11451.8979413877,11765.9748661176,10045.1404163745,11716.3267818656,12565.3645829576,12371.0086545348,12621.4081961897
204,"BEN","Benin",2207.06796428357,2230.46054664538,2226.56666006625,2254.24565428893,2215.36616821939,2300.14122107459,2337.63030771278,2399.78593127355,2419.10014338547,2470.68504400548,2536.16885867097,2591.06485220287,2630.18061029628,2639.04370114642,2672.84404357158,2632.47251454328,2652.21841967159,2729.13741390352,2777.61974031765,2758.07243150649,2733.57399641151,2732.01249647957,2779.72648085321,2893.0467015352,2987.38236326153,2952.00218338705,2962.66381572264,3041.77929984989,3155.4510650627,3281.10470051465,3317.8597222557,3464.2886286745,3588.32519938147,3721.21254814808,3901.32588494392
60,"BMU","Bermuda",79747.4825029841,76365.0430540654,75766.6971046445,77503.4644231796,77470.2976928947,80427.2406212099,82122.7826140327,85380.8348326116,88034.8132385884,90290.5624913126,98019.93147275,104560.839783497,102559.769384967,105642.976098631,107803.199358077,109335.385931485,115170.899920201,118691.070025545,115942.72717347,108962.816946419,105968.875104213,101989.927295974,96711.0739703323,96549.7874807583,93042.2733051033,93859.8769494621,93265.0675364638,96437.191438851,95639.2267310584,95519.9206861686,88618.0830682257,92319.6714861219,98145.1689383888,103052.348367859,109311.936941299
64,"BTN","Bhutan",3411.3837599176,3338.00941826599,3624.59781500137,3850.551287421,4042.49417769248,4379.87046667778,4616.91979198439,4778.70511731733,4965.87646031681,5241.36663790737,5287.57434721685,5545.63055110839,5991.25497571774,6323.5411950973,6517.99683290216,6850.80441609334,7140.85609148377,8195.07074477911,8470.03471622855,9019.11861272398,9985.28455483655,10714.686566371,11143.9445354588,11212.479426698,11744.5189124825,12400.2983237391,13320.9759036882,13482.3425280358,13854.8543977157,14555.1884045846,12979.9369485824,13458.812666743,14061.3120274587,14610.2959119536,14301.7699708421
68,"BOL","Bolivia",6247.10446615403,6440.4857162921,6414.32866802843,6556.81640305093,6731.2848743195,6914.34189540931,7083.61313107091,7301.50935715196,7534.51656215666,7435.72544462966,7492.43381815499,7491.15257767137,7550.01554439063,7625.90515937027,7811.59684101948,8020.63568776794,8263.31896895542,8493.94848397403,8865.27246783162,9011.55629962953,9230.39808115934,9554.44502529396,9884.46163420335,10391.3833753599,10790.8472899414,11144.6415727206,11448.0218032246,11755.2556195885,11920.3135079646,11930.9159145918,10285.6590750222,11202.4409836707,11487.7148799195,11616.1575595159,11329.1518061536
70,"BIH","Bosnia and Herzegovina",2413.94823987662,2183.53511432798,2150.91966830521,2281.89928050593,2657.81398743182,3090.39106761025,4569.00162207313,6020.98522398162,6899.32565505901,7481.33501395434,7830.53433078343,7982.55195738095,8366.72625268202,8709.99283593466,9344.86891184203,9814.51034158831,10430.4552500579,11178.7278411828,11983.7696596485,11826.6991802051,12142.9120522116,12487.7008428301,12626.9786875839,13135.7719791089,13458.9083902112,14220.1489744552,14873.7027917131,15554.7232481788,16349.0675137661,17029.3678184559,16747.1048417525,18286.7373324233,19298.1971056448,19805.0002774731,20527.6935527158
72,"BWA","Botswana",10520.9183978405,11001.8013588128,11008.6810214185,10902.9512774946,10989.6700551057,11457.6994362472,11832.9387782379,12526.352236393,12306.250477233,13207.447346512,13185.8171514278,12949.6403104656,13479.6960719923,13857.2588264737,13984.8415112641,14361.9576327759,15275.5828811117,15850.2343496231,16040.3153236098,13489.9509168296,14545.0198074426,15236.7188843522,14957.6189142932,16369.4252971454,17052.1924105361,15994.9643042101,16905.588740873,17352.8958451454,17825.018569213,18106.0105471124,16289.3913582645,17960.6254447437,18647.3734588832,18932.4802712334,18068.5050714283
76,"BRA","Brazil",12633.2884559605,12546.5605004545,12271.9788476188,12669.4287208252,13202.9308013063,13550.4393737243,13641.6295997537,13896.6249901345,13737.7026434846,13602.4137069426,14005.347187072,14016.1313773563,14265.9048768518,14259.3664088286,14911.260960772,15221.0138281917,15657.4795714009,16440.5837398046,17113.3679822772,16939.4407809047,18062.158110224,18627.8104527934,18832.2195524356,19241.5059814525,19183.1727445222,18357.0690615421,17620.9272434404,17724.4799577815,17917.7492122925,18018.6209149499,17327.5157248142,18075.7060048757,18554.0461828519,19079.8122132253,19652.3654991704
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",118163.68336994,118220.68359533,111457.220883519,107899.136339239,106239.232694338,105043.853097683,102522.125418121,106503.420270796,97171.6372551032,99083.3205282423,100323.439918528,99680.7626777537,101571.583784666,103226.914446986,101497.754798655,99795.6850854526,102248.510300567,96752.6204091886,91275.5000919181,87875.8283546045,88586.5133683923,90279.6634042124,89718.4636049983,86606.6518910197,83310.6151819532,81910.1882959492,78880.6228501768,78966.8643142345,78099.050780256,80228.1598170527,80280.8980640676,78248.7971276111,76357.8291149959,76616.7014884981,79071.7333801444
