"code","iso","country","KFL.raw.2005","KFL.raw.2006","KFL.raw.2007","KFL.raw.2008","KFL.raw.2009","KFL.raw.2010","KFL.raw.2011","KFL.raw.2012","KFL.raw.2013","KFL.raw.2014","KFL.raw.2015","KFL.raw.2016","KFL.raw.2017","KFL.raw.2018","KFL.raw.2019","KFL.raw.2020","KFL.raw.2021","KFL.raw.2022","KFL.raw.2023","KFL.raw.2024"
4,"AFG","Afghanistan",0.000597337417168463,0.000536446254423132,0.000475768526287684,0.000337709586961127,0.000307361265532467,0.000228838734385665,0.000225664962105718,0.000216228584114722,0.000170929285614552,0.000118491704774786,9.41606284315719e-05,3.79383536502698e-05,3.32848952900673e-06,4.6241172035791e-06,8.08225244368969e-06,1.36808937097477e-05,1.55468678713741e-05,1.55468678713741e-05,2.20724133217523e-05,2.20645289656797e-05
8,"ALB","Albania",0.00288968398297607,0.00183083310321149,0.00320856298939485,0.0037808158152452,0.00330624574977042,0.00328483290608511,0.00317623316892523,0.00225131054564755,0.00183057414463865,0.00160464428725346,0.0014816724508593,0.00170461399406731,0.00123598731710325,0.00126986442567415,0.00137866828865683,0.001611398160804,0.00162519393342219,0.00188133217675795,0.00166152888199938,0.00156434750540462
12,"DZA","Algeria",0.00289471972683164,0.00328911479493213,0.00395430976961618,0.00487678653561014,0.00618263629044502,0.00605291476193693,0.00677368646167145,0.00777001285663897,0.0075256957149369,0.00708960038740283,0.00744729046470823,0.007260341689663,0.0155232232739149,0.0148839483274149,0.0141747631436512,0.0157057433082922,0.0176010879252638,0.0103907346384582,0.0117713492025737,0.0114751990744634
20,"AND","Andorra",0.000297458448348303,0.000350899536982945,0.000361341475760239,0.000414088678369705,0.000203118122241247,0.000193303075936491,0.000132507941268073,0.000195015941521628,0.000175375443217754,0.000160635054649069,0.000171065959740003,0.000167380895658223,0.00011834624935976,0.000244095988194532,0.00031583040480371,0.000584458931642036,0.000599790865828135,0.000726715921104822,0.000624886851683756,0.000720550157806758
24,"AGO","Angola",0.0022086597590596,0.00183593186234007,0.00227444295563769,0.00232142873279117,0.00279453219132176,0.00274174048365994,0.0032492699378044,0.00300312905637451,0.00321664798960625,0.00297483026603482,0.00316916154461748,0.0031105586970682,0.00344137961469482,0.00355086778296041,0.00361510939780784,0.0037075589486514,0.00411184916538315,0.00415795715263055,0.00436078559085284,0.00460553781230234
660,"AIA","Anguilla",0.000828213722331727,0.00086006735280828,0.00117861196976385,0.00216609252724382,0.00156085692115181,0.00152900286602773,0.00146529451002534,0.00127416318553614,0.000430037245425766,0.000350403851596729,0.00033447648883381,0.00033447648883381,0.000207063196367434,0.000111487157981352,4.77785789835089e-05,4.77785789835089e-05,0.000414111810187798,0.000461895261304206,0.000414116682320697,0.000414116682320697
28,"ATG","Antigua and Barbuda",0.00156587238310697,0.00197855416967495,0.0017009927191477,0.00175993914487034,0.00231531158008941,0.00213823149660485,0.00166652423606028,0.00174220390366146,0.00154013868797411,0.000639548074735777,0.000420792466767186,0.000319824256189227,0.00137816917036236,0.00220159360779906,0.00218477160243878,0.00235322602667155,0.00237848858221622,0.00136190059472232,0.000504521573287747,0.00095927302006563
32,"ARG","Argentina",0.00279566313635768,0.00341998202886997,0.00397438765803621,0.00472458665048579,0.0047957323586249,0.00493371138309276,0.00471522348156828,0.00539217712612605,0.00536247714060879,0.00515782520578916,0.00487743989626311,0.0046535575496742,0.00375015750978019,0.00285095668460808,0.00255512795863271,0.0025896507403115,0.0025425932244658,0.00310274297837292,0.0034301398206442,0.00361089212044679
51,"ARM","Armenia",0.00034920645970212,0.000354155911270044,0.000308197261766647,0.000156557704622465,0.000232074535134499,0.000248713340740385,0.000246250340200209,0.000249214173848685,0.000256886113327619,0.000177958324869902,0.000138781930327565,0.000115114985118806,0.000122170983853386,8.39063453716865e-05,6.86071688611142e-05,8.81680497248388e-05,7.14784530496449e-05,2.97056834356476e-05,4.78700762645378e-05,7.14976802606848e-05
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
