"code","iso","country","MPE.raw.2014","MPE.raw.2015","MPE.raw.2016","MPE.raw.2017","MPE.raw.2018","MPE.raw.2019","MPE.raw.2020","MPE.raw.2021","MPE.raw.2022","MPE.raw.2023","MPE.raw.2024"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",23.2895150380747,0.0188725699076384,0.0242640259307869,0.192725624092599,0.425205955932108,0.446978577819549,0.333794051361233,0.166212535208908,0.329375548029888,0.419204037838326,0.403173566554884
12,"DZA","Algeria",0,0,0,0,0,0,0,0.66131370898553,1.05552756623328,8.66586220452545,8.00454849553992
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,179.707755510661,179.707755510661,89.8538777553305,0,0,0,56.867543304301,56.867543304301,37.9116955362007
28,"ATG","Antigua and Barbuda",649.913589627164,324.956794813582,324.956794813582,1.22502044105142,1.22502044105142,0.81668029403428,0,0,0,9.1899830316392,12.8495055576507
32,"ARG","Argentina",0.0999348081496593,0.148899632089448,0.133292351410905,0.160718840120167,0.116044409877855,0.103859021986658,0.0321423590608088,0.0221011298218223,0.0327311735155421,0.0301698707996927,0.0371970454772649
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
36,"AUS","Australia",2.17251713294668,2.25362331798029,2.647833616963,2.79485905127761,2.37498759845878,1.2922684052873,0.57607512095918,0.632331445404214,0.613825666676476,0.587164630663644,0.4219368693766
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
