"code","iso","country","GHN.raw.2014","GHN.raw.2015","GHN.raw.2016","GHN.raw.2017","GHN.raw.2018","GHN.raw.2019","GHN.raw.2020","GHN.raw.2021","GHN.raw.2022","GHN.raw.2023","GHN.raw.2024"
4,"AFG","Afghanistan",90352.799015519,79467.6448331154,62298.3822705776,48505.011808383,38737.916509269,32321.0141514267,33451.0174364219,36599.0647683987,38523.9499271157,38844.5602134184,38244.7298541552
8,"ALB","Albania",16611.9282689562,14804.7130858576,12853.7555617055,13030.9851190191,12158.0398699397,9556.69830079582,7313.14344232187,6809.44100353095,3836.75987513866,2422.33721747259,3016.13931774012
12,"DZA","Algeria",413544.093284138,463826.658674328,474456.587278697,479161.86791136,487122.001760889,482480.720540237,417177.527139587,398986.370643392,402227.962971038,411064.552813378,394966.655888043
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",124612.694861287,145553.105681113,134874.112511812,108388.689003806,79384.0755488025,59221.9726536303,45211.9493988293,40660.8369205812,39910.693433723,35429.9760398513,35303.0335707819
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",763.8301614974,711.887282053862,748.25192464373,805.653505336966,881.457061493255,1010.73261826054,974.077930695994,975.36032093356,971.110022435685,934.726724172027,950.135509476073
32,"ARG","Argentina",389267.603174217,374523.584799154,395589.629482464,418222.653391021,444365.062598182,438355.851708489,380314.626567537,410046.699950656,405547.691977868,387535.253847399,366764.128332478
51,"ARM","Armenia",14415.8203880348,14021.3147577851,12523.0363521158,13400.2090631614,15178.0560501219,15030.8881247465,15230.1809449928,16664.8729869141,18907.1309254951,18646.8963352803,18615.7512529744
533,"ABW","Aruba",-3482.21455935328,-6133.68729343322,-8432.64832098885,-7501.81692407991,-6275.50087149499,-4569.76828883916,-2556.85986302924,90.757567437269,881.497135980656,890.724527717961,993.58185852714
36,"AUS","Australia",661953.06691213,648885.815980828,627457.459151039,666791.448081771,672437.401830303,674655.84997811,590269.603297836,548626.11808342,525432.860217349,538925.966912404,531688.157419085
40,"AUT","Austria",22949.0300632177,36964.1394563769,50546.2979043376,66654.0494376504,71058.9497855925,70806.8146210317,63588.7888898192,70755.3544902006,58911.900214143,43492.5670637491,29841.7316159456
31,"AZE","Azerbaijan",66517.1817701618,70905.3242845015,74882.0943685633,74242.3960675629,80754.5202200249,85580.9730192791,76296.0409503292,75887.3941876641,83572.6947796227,89411.3245969958,85507.9348696445
44,"BHS","Bahamas",2769.52417941304,3259.14345433639,3275.12654275794,4183.15857748026,4106.32442162328,4572.37429171021,3712.59371870696,4931.76619467097,5709.31377937366,5797.64480301381,5965.62062037129
48,"BHR","Bahrain",109920.444745101,113700.674151493,105420.532926372,101378.430686553,100521.131166631,110485.718732368,109236.668205089,98225.5454317413,90326.2449716429,91373.2321451292,90221.123077347
50,"BGD","Bangladesh",325124.135676176,341857.893489639,353399.768749886,364175.938284776,358420.181620146,367290.350272932,367848.783554743,365337.498110602,357637.075957496,331762.808701602,312200.732174077
52,"BRB","Barbados",1500.49628591145,1163.22930730557,1264.97827753014,1465.38617872033,1414.85218429036,1311.50960711667,1147.34355287007,1105.22028965645,1175.43953769059,1311.07736622601,1426.41576648736
112,"BLR","Belarus",136932.524851216,114398.346714286,98048.8184974659,89253.4314027204,93946.97815613,92937.1467297201,88658.1977519326,88978.1398694693,85379.8104721657,80541.2607963637,79605.823142047
56,"BEL","Belgium",6321.34756343858,24572.1401660071,38436.9164421754,53687.2653145188,80151.6698831685,83655.8635142467,82582.2330487958,89147.4704432182,72356.4555156695,56731.2885152989,44657.1299739633
84,"BLZ","Belize",1910.31407906082,2064.6891447751,2063.92815280546,2098.66748406548,1944.85002092591,2262.2109149342,2093.10165276567,2262.70329252575,2180.53845107307,2120.79827523818,2006.99283825693
204,"BEN","Benin",28456.8865603403,27649.9011231119,27348.7763771804,27963.764284329,28104.9105749641,26832.0220815568,26668.9882744362,27035.4431319389,27588.5300256628,27612.6447368354,27476.6527124098
60,"BMU","Bermuda",381.67214766499,203.563143381789,437.091437289667,870.531671066885,982.741552189391,873.500318605559,739.509934857939,652.801084975101,272.636426425832,164.025280624971,367.609512889991
64,"BTN","Bhutan",6966.20585374947,7407.4867702437,7566.64186748061,7378.63240034803,7282.11977679297,6290.52283149271,4612.84070466837,4070.27787611239,3552.93494773509,3230.57725896718,2948.22423675244
68,"BOL","Bolivia",101343.651068681,102255.799405403,102625.925145654,101340.004814194,96975.6547499491,91615.9578454756,76529.9369839674,76133.1483272815,78246.2908450765,80938.2044745204,97305.4908426661
70,"BIH","Bosnia and Herzegovina",47180.1376961515,34386.1875787189,37119.9544896027,35925.2505105756,37074.906278174,33165.6246030473,31385.566371299,34327.9427535954,34018.1645451996,30204.3746288293,23713.4480875681
72,"BWA","Botswana",23108.0209429123,20137.529183,19249.1705046875,18633.143226956,20461.121905765,17084.269483143,13171.8735558085,13819.5577433521,14701.1948061206,15382.1811055749,15429.1801682916
76,"BRA","Brazil",2347660.37806106,2319066.31419132,2137976.97951156,1965236.83315303,1739402.71527284,1466676.24119723,1256667.134438,1292025.95775161,1310221.27305741,1417156.81067015,1508670.27828597
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",17864.4415535021,7228.50012883889,5306.65931225482,7214.79284600913,11268.1948960526,12578.8911186955,17685.773700452,24305.1016720067,29983.0795455396,30969.7562448146,31250.0856912823
100,"BGR","Bulgaria",27609.8718960086,31946.1945809166,29680.4696612262,47653.557382276,49192.8324873278,38016.9334465208,18936.7982957122,36258.4804672681,52822.5295188881,21901.7143470479,5986.8139030992
854,"BFA","Burkina Faso",55200.9340300304,57140.4357017796,58615.1427487225,60321.3883293692,63153.1971437001,65543.8738879007,55236.6093150283,61266.9324298505,61651.5844150082,56827.0725085317,52783.9307382658
108,"BDI","Burundi",15295.954563046,15052.3778913218,15330.8873224413,16518.3431434492,16648.9400042774,15357.983534634,13844.5993606818,15277.0060048199,14139.305840704,15328.7578940125,15634.7730344336
132,"CPV","Cabo Verde",979.988002351488,816.208834974878,852.4719007962,913.661402995158,833.860688732356,1013.61757044976,873.313607276573,1171.94782604235,1200.68259055126,1109.15698852248,1079.06557075578
116,"KHM","Cambodia",64014.9504968451,62937.5899516896,68782.9932715649,75475.0618845051,83044.2211394169,98095.2551785807,109695.788510591,117220.033503602,113841.085131471,110262.059313059,102837.310766213
120,"CMR","Cameroon",49131.274546236,64695.8293947705,70396.6024902586,70487.5188795653,68344.7679933274,68678.9976690702,66114.4097645253,60692.3343411994,54081.5893969933,47318.9143666322,43858.663776301
124,"CAN","Canada",739968.895393075,752774.458105018,733766.580006728,830948.805460817,901592.316577296,879580.032060851,689223.195206581,635486.898379721,615159.168046044,616339.860511903,603616.244560463
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",19031.9587954626,18417.5428032105,18163.1113285693,17369.8633414911,18107.9855015945,16668.1238299389,16202.6489962317,17049.1486621778,17692.9384742903,16494.4813485465,16821.310499059
148,"TCD","Chad",142462.510628538,154361.279311529,163147.36049408,170564.173038639,177233.736433782,183189.634370969,189364.663982565,192470.783817279,198538.573901717,204622.386428002,207666.773126688
152,"CHL","Chile",203303.415844715,194229.9133895,187957.424507587,190945.80377939,193548.1205278,198797.624110755,161775.862289182,159163.936204303,164261.572268489,145286.778235241,128584.884157879
156,"CHN","China",31989493.9053856,28676005.5328576,25003607.6716609,22070122.935323,19912111.1989657,18252048.2102692,17317812.5588513,18489433.406382,20186876.8398685,22284826.1201047,23406624.4215222
170,"COL","Colombia",335358.019842678,322939.274591938,311213.510090488,274051.391770883,279628.47967708,307937.046528348,304966.315562869,337912.13535424,305776.168760451,296776.689978587,292463.017770252
174,"COM","Comoros",983.703125855109,1056.69720600098,1234.13445615419,1383.21833117846,1468.58023939531,1605.79871625712,1840.49763532838,2205.46664261236,2418.79906366508,2537.84390243827,2501.84941076473
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
