"code","iso","country","MHP.raw.2011","MHP.raw.2012","MHP.raw.2013","MHP.raw.2014","MHP.raw.2015","MHP.raw.2016","MHP.raw.2017","MHP.raw.2018","MHP.raw.2019","MHP.raw.2020","MHP.raw.2021","MHP.raw.2022","MHP.raw.2023","MHP.raw.2024","MHP.raw.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,"AIA","Anguilla",13.8148667601683,13.8148667601683,13.8148667601683,13.8148667601683,13.8148667601683,13.8148667601683,13.8148667601683,13.8148667601683,13.8148667601683,13.8148667601683,13.8148667601683,13.8148667601683,13.8148667601683,13.8148667601683,13.8148667601683
28,"ATG","Antigua and Barbuda",24.3757405496312,24.3757405496312,24.3757405496312,32.9733784351947,32.9733784351947,32.9733784351947,32.9733784351947,32.9733784351947,32.9733784351947,32.9733784351947,32.9733784351947,32.9733784351947,33.2044614234545,33.2044614234545,33.2044614234545
32,"ARG","Argentina",21.9473264166002,21.9473264166002,21.9473264166002,21.9473264166002,21.9473264166002,21.9473264166002,21.9473264166002,45.5016274796837,45.5016274796837,45.5016274796837,45.5016274796837,45.5016274796837,45.5016274796837,45.5016274796837,45.5016274796837
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,43.7863564251719,43.7863564251719,43.7863564251719
36,"AUS","Australia",24.2336140017753,26.4222484245492,27.4968938332985,27.5379766909355,27.5500802978104,27.7362452355887,27.8688263762744,39.480102615782,39.6901114160051,39.6901114160051,39.6901114160051,45.9261830744342,49.2847127589104,50.5025021497532,50.5882866245085
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",1.26674141584482,4.08489190397855,4.08489190397855,4.08489190397855,11.5831484424366,11.5831484424366,11.5831484424366,11.5831484424366,11.5831484424366,11.5831484424366,11.5831484424366,11.5831484424366,11.5831484424366,11.5831484424366,11.5831484424366
48,"BHR","Bahrain",0,0,0,0,0,0,15.0990099009901,15.0990099009901,15.0990099009901,15.0990099009901,15.0990099009901,15.0990099009901,15.0990099009901,15.0990099009901,15.0990099009901
50,"BGD","Bangladesh",18.032278088144,18.032278088144,18.032278088144,18.032278088144,18.032278088144,18.032278088144,19.8634388578523,19.8634388578523,20.0962135319677,20.0962135319677,70.0962135319677,70.0962135319677,70.0962135319677,70.0962135319677,70.0962135319677
52,"BRB","Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"BLZ","Belize",11.1001941056299,11.1001941056299,11.1001941056299,11.1001941056299,12.5464843892377,12.5464843892377,12.5464843892377,12.5464843892377,12.5464843892377,13.9883505004216,13.9883505004216,40.8856979834299,40.8856979834299,40.8856979834299,40.8856979834299
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",30.0780554484223,30.0780554484223,30.2435635583197,30.778753127363,30.778753127363,30.778753127363,30.778753127363,44.5350126899071,44.5350126899071,44.5350126899071,44.5350126899071,44.5350126899071,44.5350126899071,44.5773736049028,44.5773736049028
92,"VGB","British Virgin Islands",0.43956043956044,0.43956043956044,0.43956043956044,0.43956043956044,0.43956043956044,0.43956043956044,0.43956043956044,0.43956043956044,0.43956043956044,0.43956043956044,0.43956043956044,0.43956043956044,0.43956043956044,0.43956043956044,0.43956043956044
96,"BRN","Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",1.55194049055942,1.55194049055942,1.55194049055942,3.02252872585353,3.02252872585353,3.02252872585353,3.02252872585353,3.02252872585353,3.02252872585353,3.02252872585353,3.02252872585353,3.02252872585353,3.02252872585353,3.02252872585353,3.02252872585353
116,"KHM","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",9.63652557186559,9.63652557186559,9.91430334964339,9.91430334964339,9.91430334964339,9.91430334964339,11.2668206189898,11.6125443657573,12.7532386069577,12.7532386069577,12.7532386069577,14.1967446111241,14.1967446111241,23.921362649012,23.921362649012
136,"CYM","Cayman Islands",14.2043255549264,14.2043255549264,14.2043255549264,14.2043255549264,14.2043255549264,14.2043255549264,14.2043255549264,14.2043255549264,14.2043255549264,14.2043255549264,14.2043255549264,14.2043255549264,14.2043255549264,14.2043255549264,14.2043255549264
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",20.3880706469857,20.3880706469857,20.3880706469857,20.3880706469857,20.3880706469857,22.7167627035513,25.2979659170169,32.7995952045223,44.3053303604562,44.3053303604562,44.3053303604562,44.3053303604562,44.3053303604562,44.3053303604562,44.3053303604562
156,"CHN","China",6.64757228587017,6.64757228587017,6.93126022913257,6.93126022913257,6.93126022913257,6.93126022913257,6.93126022913257,6.93126022913257,6.93126022913257,6.93126022913257,6.93126022913257,7.96949710142039,7.96949710142039,7.96949710142039,7.96949710142039
170,"COL","Colombia",32.8506602945343,32.8506602945343,35.1175421096045,35.178891802856,35.178891802856,35.178891802856,44.6699871097562,48.8640876794319,48.8640876794319,48.8640876794319,48.8640876794319,50.6445189859368,50.6445189859368,50.6445189859368,50.6445189859368
174,"COM","Comoros",23.3458694450669,23.3458694450669,23.3458694450669,23.3458694450669,23.3458694450669,23.3458694450669,23.3458694450669,23.3458694450669,23.3458694450669,23.3458694450669,23.3458694450669,23.3458694450669,23.3458694450669,23.3458694450669,23.3458694450669
184,"COK","Cook Islands",0,0,0,0,0,0,48.4579151543414,48.4579151543414,48.4579151543414,48.4579151543414,48.4579151543414,48.4579151543414,48.4579151543414,48.4579151543414,48.4579151543414
