"code","iso","country","BCA.raw.1990","BCA.raw.1991","BCA.raw.1992","BCA.raw.1993","BCA.raw.1994","BCA.raw.1995","BCA.raw.1996","BCA.raw.1997","BCA.raw.1998","BCA.raw.1999","BCA.raw.2000","BCA.raw.2001","BCA.raw.2002","BCA.raw.2003","BCA.raw.2004","BCA.raw.2005","BCA.raw.2006","BCA.raw.2007","BCA.raw.2008","BCA.raw.2009","BCA.raw.2010","BCA.raw.2011","BCA.raw.2012","BCA.raw.2013","BCA.raw.2014","BCA.raw.2015","BCA.raw.2016","BCA.raw.2017","BCA.raw.2018","BCA.raw.2019","BCA.raw.2020","BCA.raw.2021","BCA.raw.2022","BCA.raw.2023"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0291174452352514,0.0351413901680284,0.0409934093845064,0.0446411540307381,0.048903990687585,0.0505779058409856,0.047672498991971,0.0417704746064602,0.0327613941171541,0.0247689386071437,0.0200635626410393,0.0153097753245772,0.0133775109784302,0.0070760979469416,0.00440299048746933
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0293978777987914,0.0230937601713033,0.078499627885237,0.10170668825575,0.118697859958501,0.123354203172376,0.112629778313459,0.091528307857619,0.035187942290221,-0.00489619015563536,-0.00760050524173528,-0.0115421261175049,-0.0112076115716783,-0.0113710537812676,-0.00677523428425475,-0.00349068885761072,0.00251657229216043,0.0109685219731661,0.0115077239355204,0.00980582169038557,0.00315362146298681,-0.00629488761537633,-0.0111510252401464,-0.0188806588927809,-0.0290920553839149
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142729296453623,0.0106273316190195,0.00126959954736361,-0.00614984599031509,-0.00555518528666155,-0.00511411751171087,-0.00312585578055125,0.00218611766162358,0.00984302931806025,0.0187080292793089,0.0293707814126198,0.0382720748177079,0.0364032849227871,0.0441723461016434,0.0493560157709345,0.0516639480322876,0.0509328707805234,0.044855434165143,0.0400189749767157,0.0338582909008429,0.0291522869729892,0.0175271950668567,0.000843838894201143,-0.00401671143191647,-0.00799924766657734
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0166838014582802,0.00984537208402569,0.00772923070799236,0.00861122941984593,0.00858895621604305,0.00905328056176424,0.00927778750813069,0.0143564431426686,0.0212017441056487,0.0283291355393591,0.0368737221702782,0.041683393819556,0.044584559319325,0.0445327631904739,0.0473726712051918,0.0469305903397497,0.0417913883649699,0.0349833911066728,0.0240580401919752,0.0152481930569581,0.0117622294572108,-0.00122745032468512,-0.00210308783069541,-0.00381489623291385,-0.00322022137835779
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0206826907313764,0.0188032112816161,0.0155826626322675,0.00243606361383719,-0.00796368484526899,-0.0167191409637197,-0.0212917268351938,-0.0231490243533007,-0.019005899546232,-0.00839238125027675,0.00807412934649121,0.0187675996988537,0.00913414329848949,-0.00101827900978496,-0.00683600599871115,-0.0126845678844919,-0.0172944856349291,-0.0217849093231981,-0.0265860746116185,-0.0316306310807272,-0.0191846236310551,-0.00509694093078546,-0.00939968218766224,-0.00874189205927002,-0.00790562284283367
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0119301235125493,-0.00559281618898447,-0.0231792808301242,-0.0350310486472859,-0.0341987609823834,-0.0333181697061629,-0.0254799384198653,-0.0158427334943782,-0.0030117793497479,0.00861660484360227,0.0139589331298737,0.0169291948153354,0.0140275776551062,0.00405994878864635,0.00333123676974756,-0.00122933856902574,-0.00528936429153792,-0.00927101830099164,-0.00700312594628294,-0.00507431110093758,-0.00918531125075557,-0.0021693941627461,-0.00132217273295092,-0.00156770999038872,-0.000320907661389216
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0308564949351793,-0.0629149589663423,-0.0807997656432804,-0.0510760522003825,-0.0283136313834716,-0.0211866364144851,-0.0150404753527118,-0.00639197006216863,0.00457618823299444,0.0161132674090025,0.022009938900817,0.0237266233382116,0.0217984787878547,0.016636186226664,0.0129983552821435,0.0106777284573967,0.024327423649894,0.036168752086013,0.0334916904907192,0.0437592258419648,0.0455557718288833,0.0322312992478442,0.018480592374011,0.0031152293571941,-0.0121578497542202
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00202133983984643,0.00771302193904222,0.0208822626929537,0.0101938132999531,-0.000400219707673674,-0.0129600051509966,-0.0187490335264124,-0.0227503967852195,-0.0230334652967831,-0.0194623926083367,-0.0132908217509246,-0.00131067059413426,-0.00962634665568907,-0.0165894432681923,-0.0265804157746416,-0.0408864628134677,-0.0561557569967667,-0.0597363852057838,-0.0561372668265557,-0.0450837008458204,-0.0271005380149519,-0.00818396128218655,-0.0135873880367471,-0.0114585991485571,-0.0122920182634271
