"code","iso","country","MKP.raw.2011","MKP.raw.2012","MKP.raw.2013","MKP.raw.2014","MKP.raw.2015","MKP.raw.2016","MKP.raw.2017","MKP.raw.2018","MKP.raw.2019","MKP.raw.2020","MKP.raw.2021","MKP.raw.2022","MKP.raw.2023","MKP.raw.2024","MKP.raw.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796,20.4379562043796
12,"DZA","Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,"AIA","Anguilla",66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667
28,"ATG","Antigua and Barbuda",72.9613733905579,72.9613733905579,72.9613733905579,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,74.6781115879828,83.2618025751073,83.2618025751073,83.2618025751073
32,"ARG","Argentina",11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146,11.7776712985146
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,61.7021276595745,61.7021276595745,61.7021276595745
36,"AUS","Australia",40.6615300527179,40.6773983109121,40.9066064848282,40.9066064848282,40.9083696246275,40.9101327644269,40.9401061410159,61.4930267820935,61.5617892342684,61.5617892342684,61.5617892342684,61.6340779660419,61.6358411058413,61.6816827406245,61.6816827406245
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",13.8865187713311,14.867747440273,14.867747440273,14.867747440273,25.4052901023891,25.4052901023891,25.4052901023891,25.4052901023891,25.4052901023891,25.4052901023891,25.4052901023891,25.4052901023891,25.4052901023891,25.4052901023891,25.4052901023891
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",12.3126873126873,12.3126873126873,12.3126873126873,12.3126873126873,12.3126873126873,12.3126873126873,20.5794205794206,20.5794205794206,31.5559440559441,31.5559440559441,31.5559440559441,31.5559440559441,31.5559440559441,31.5559440559441,31.5559440559441
52,"BRB","Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364
84,"BLZ","Belize",11.3849380612178,11.3849380612178,11.3849380612178,11.3849380612178,13.574097135741,13.574097135741,13.574097135741,13.574097135741,13.574097135741,14.8521989906273,14.8521989906273,31.5592842629613,31.5592842629613,31.5592842629613,31.5592842629613
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",54.5371125611746,54.5371125611746,54.5371125611746,56.0766721044046,56.0766721044046,56.086867862969,56.086867862969,69.1374388254486,69.1374388254486,69.1374388254486,69.1374388254486,69.1374388254486,69.1374388254486,70.9522838499184,70.9522838499184
92,"VGB","British Virgin Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"BRN","Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"BGR","Bulgaria",83.2116788321168,83.2116788321168,83.2116788321168,83.2116788321168,83.2116788321168,83.2116788321168,83.2116788321168,83.2116788321168,83.2116788321168,83.2116788321168,88.4671532846715,88.4671532846715,88.4671532846715,88.4671532846715,88.4671532846715
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",5.3343949044586,5.3343949044586,5.3343949044586,5.84622383985441,5.84622383985441,5.84622383985441,5.84622383985441,5.84622383985441,5.84622383985441,5.84622383985441,5.84622383985441,5.84622383985441,5.84622383985441,5.84622383985441,5.84622383985441
116,"KHM","Cambodia",27.807486631016,27.807486631016,27.807486631016,27.807486631016,27.807486631016,27.807486631016,27.807486631016,63.1016042780749,63.1016042780749,63.1016042780749,63.1016042780749,63.1016042780749,63.1016042780749,63.1016042780749,63.1016042780749
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",12.286129114909,12.286129114909,12.286129114909,12.2870780705833,12.292771804629,12.7254955921009,12.8801753670086,13.9297203427628,13.9344651211342,13.9344651211342,13.9344651211342,13.9392098995056,13.9392098995056,13.9392098995056,13.9392098995056
136,"CYM","Cayman Islands",11.2903225806452,11.2903225806452,11.2903225806452,11.2903225806452,11.2903225806452,11.2903225806452,11.2903225806452,11.2903225806452,11.2903225806452,11.2903225806452,11.2903225806452,11.2903225806452,11.2903225806452,11.2903225806452,11.2903225806452
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
