"code","iso","country","GEL.raw.2020","GEL.raw.2021","GEL.raw.2022","GEL.raw.2023","GEL.raw.2024"
4,"AFG","Afghanistan",0.00212117682859157,0.00223627852563656,0.00199009269131003,0.00160228025463848,0.00179178684845767
8,"ALB","Albania",0.0274983428010383,0.0302216032278477,0.0344561495805577,0.0356882250170467,0.0284098740532048
12,"DZA","Algeria",0.00245149600394859,0.00275492479762175,0.00256616232614704,0.00196149111276439,0.00231498140137056
20,"AND","Andorra",0.000721866715177872,0.00132144123470551,0.00145825653189627,0.00159709080432076,0.00218737039295665
24,"AGO","Angola",0.00354041492202681,0.00374814819955046,0.0037145069163179,0.00349409287976261,0.00396119990659949
660,"AIA","Anguilla",NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",0.153437138375851,0.333724903164843,0.40458480490585,0.407121221826832,0.39762585226823
32,"ARG","Argentina",0.00284568668314593,0.0034713492339326,0.0035769814597362,0.00370326596282781,0.00465939918932881
51,"ARM","Armenia",0.0103388547713552,0.0121199672859205,0.012708117394224,0.0124745780218153,0.0131321048191174
533,"ABW","Aruba",0.0127349198418376,0.0129516826296105,0.0131536159060273,0.0159279308657417,0.0218280969447951
36,"AUS","Australia",0.00122784543835251,0.00151820998855203,0.00173076571155054,0.00174185471749246,0.0016771829228852
40,"AUT","Austria",0.00684227358633309,0.00973020093398962,0.00966178494171076,0.00919438197654089,0.00940999828231403
31,"AZE","Azerbaijan",0.00832340256860639,0.0100993938683388,0.010895618118152,0.0117254246161477,0.0120830892804068
44,"BHS","Bahamas",0.00544176078856846,0.00609113527329248,0.00597765516631297,0.00546376723752623,0.0052175510435713
48,"BHR","Bahrain",0.0949166286922704,0.0903126317947293,0.0876034411623119,0.0805614021361107,0.0748717171346215
50,"BGD","Bangladesh",0.143439631008353,0.103291274153189,0.107364336919153,0.098324629941038,0.101735229190346
52,"BRB","Barbados",0.140320371405815,0.172114961230559,0.144561145505765,0.135112328307692,0.137761240279807
112,"BLR","Belarus",NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA
84,"BLZ","Belize",0.125296908099084,0.139348566042185,0.184942091199662,0.181024900622486,0.169154150709389
204,"BEN","Benin",0.0378815829693737,0.038877730917716,0.0374259300472696,0.0368708265577354,0.039250614118822
60,"BMU","Bermuda",NA,NA,NA,NA,NA
64,"BTN","Bhutan",0.00171377231946596,0.00172892451992606,0.00174490817332142,0.00173401202567635,0.0019848916067094
68,"BOL","Bolivia",0.00954971760958841,0.00906006269295971,0.00776619654004564,0.00602543428435269,0.00675413454137009
70,"BIH","Bosnia and Herzegovina",0.0776713704853695,0.091515412902282,0.104403448340021,0.131438419997583,0.121187545281381
72,"BWA","Botswana",0.000423093651908255,0.000480736788029605,0.000445611326049835,0.000445206355142265,0.000617904966830495
76,"BRA","Brazil",0.0434559403589874,0.0454775517591222,0.0446870030664708,0.0435400355119629,0.0443391898449984
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA
100,"BGR","Bulgaria",0.0423810831477818,0.0478081522667858,0.0480908227523216,0.0470650133278861,0.045110731956223
854,"BFA","Burkina Faso",0.0435766194697298,0.0439285750199134,0.0386089742945516,0.0287986868656891,0.028939332170262
108,"BDI","Burundi",0.214875110498208,0.2284639745344,0.216440343486423,0.210435315785201,0.201695305806421
132,"CPV","Cabo Verde",0.00598208690196041,0.00693600777015468,0.00632310409333452,0.00581059813215392,0.00594052402866234
116,"KHM","Cambodia",0.282080176093078,0.345263632354411,0.415715276817882,0.445749948986206,0.460377205517494
120,"CMR","Cameroon",0.0585455488673679,0.057682259378724,0.0542520834748971,0.0471928474358618,0.0489955709347468
124,"CAN","Canada",0.00169927043398387,0.00177425118610111,0.00186134723563362,0.00214858131267283,0.00227076996688326
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA
140,"CAF","Central African Republic",0.00341134649005709,0.00369114402016233,0.00366309285229109,0.00307011377879659,0.00281832493050202
148,"TCD","Chad",0.00669247646720078,0.006929122446551,0.00659174874093112,0.00581543994379954,0.00571613843846597
152,"CHL","Chile",0.00297967362525323,0.00303463436232781,0.00273700242291178,0.00268792160099345,0.00317620159614548
156,"CHN","China",0.00261364916519392,0.00316640125215914,0.00298893027327337,0.00281822419415316,0.00365895977735396
170,"COL","Colombia",0.0199651080947638,0.0189597115711306,0.0188863718496469,0.0186896882517028,0.0187842884892837
174,"COM","Comoros",0.0385284990467706,0.0417544660636076,0.0416749901597174,0.0392840644558581,0.0376311027524919
184,"COK","Cook Islands",NA,NA,NA,NA,NA
188,"CRI","Costa Rica",0.227018144506006,0.199606694507761,0.191731569356328,0.198463162347191,0.170070483544816
384,"CIV","Cote d'Ivoire",0.0767350550983557,0.0785001073395145,0.0874621804010036,0.0908431441928353,0.105253890236538
191,"HRV","Croatia",0.136849080497962,0.14583354300026,0.189978749172667,0.200852059088585,0.173104727592996
192,"CUB","Cuba",0.0413890004165424,0.0445531597716071,0.0423138977437935,0.0406460739350949,0.0366110899222716
531,"CUW","Curacao",0.0605872643204407,0.0624729764802569,0.0675203804252364,0.0744017883639629,0.0594826527561343
196,"CYP","Cyprus",0.0524691539279077,0.0502927830430332,0.038553026929527,0.018064462591999,0.00955053543544567
203,"CZE","Czechia",0.166381579380132,0.201343921374481,0.211596019949258,0.201961384376372,0.157751213749943
180,"COD","Dem. Rep. Congo",0.00727166444612329,0.00668195068223129,0.00606648099335816,0.00565345553056738,0.00585083942346183
208,"DNK","Denmark",0.0380643245170133,0.0334201028137489,0.0382007206940496,0.0557234887329601,0.0647430453876611
262,"DJI","Djibouti",0.00095951631516891,0.000996245549603675,0.00110523983513354,0.00116083511429474,0.00104768795938457
212,"DMA","Dominica",NA,NA,NA,NA,NA
214,"DOM","Dominican Republic",0.0526517436645284,0.0525601221488682,0.0480725169095046,0.0472141417810484,0.0560712927751138
218,"ECU","Ecuador",0.0173275782850572,0.0172794667816441,0.0155892047984259,0.0142775742114668,0.0153659524117318
818,"EGY","Egypt",0.471993816115055,0.401007641349946,0.283324547650451,0.179003778316353,0.0904291416591921
222,"SLV","El Salvador",0.896417864078434,0.936213945808542,0.862745236851673,0.738153605930191,0.745906329530117
226,"GNQ","Equatorial Guinea",0.0772902187636471,0.0766111005239055,0.0666370421082299,0.0601764960931227,0.0602879841277586
232,"ERI","Eritrea",0.00333322882968424,0.0038385085178275,0.00406244908896013,0.00410768428890854,0.00465424400005601
233,"EST","Estonia",0.0337353601633133,0.0299257248480221,0.025201197340948,0.0177806765298281,0.0172969811713201
748,"SWZ","Eswatini",0.0423985144537916,0.0297203669008347,0.0215956148269952,0.0217820177255254,0.030503040982745
231,"ETH","Ethiopia",0.00178139372910291,0.00198905038685651,0.00197009928470417,0.00183037196333132,0.00211670836185348
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA
