"code","iso","country","PCR.raw.1961","PCR.raw.1962","PCR.raw.1963","PCR.raw.1964","PCR.raw.1965","PCR.raw.1966","PCR.raw.1967","PCR.raw.1968","PCR.raw.1969","PCR.raw.1970","PCR.raw.1971","PCR.raw.1972","PCR.raw.1973","PCR.raw.1974","PCR.raw.1975","PCR.raw.1976","PCR.raw.1977","PCR.raw.1978","PCR.raw.1979","PCR.raw.1980","PCR.raw.1981","PCR.raw.1982","PCR.raw.1983","PCR.raw.1984","PCR.raw.1985","PCR.raw.1986","PCR.raw.1987","PCR.raw.1988","PCR.raw.1989","PCR.raw.1990","PCR.raw.1991","PCR.raw.1992","PCR.raw.1993","PCR.raw.1994","PCR.raw.1995","PCR.raw.1996","PCR.raw.1997","PCR.raw.1998","PCR.raw.1999","PCR.raw.2000","PCR.raw.2001","PCR.raw.2002","PCR.raw.2003","PCR.raw.2004","PCR.raw.2005","PCR.raw.2006","PCR.raw.2007","PCR.raw.2008","PCR.raw.2009","PCR.raw.2010","PCR.raw.2011","PCR.raw.2012","PCR.raw.2013","PCR.raw.2014","PCR.raw.2015","PCR.raw.2016","PCR.raw.2017","PCR.raw.2018","PCR.raw.2019","PCR.raw.2020","PCR.raw.2021","PCR.raw.2022","PCR.raw.2023"
174,"COM","Comoros","2.8375","2.8474","2.8332","2.9253","2.8631","3.0845","3.117","3.192","3.3149","3.2222","3.1432","2.8872","3.5216","3.415","2.9885","3.0671","3.1605","3.1467","3.2857","3.0314","2.7036","2.8243","2.878","2.594","2.6413","2.7572","2.5875","2.6084","2.7125","3.1682","2.7694","2.8154","2.7151","2.4489","2.8697","2.8988","2.8552","2.8789","2.9189","2.9545","2.9652","1.2267","1.2609","1.9837","2.5702","3.1914","3.2814","3.4077","3.4881","3.5813","3.6484","3.6972","3.7695","3.7048","3.7359","3.8632","3.9079","3.9944","4.0354","4.0876","4.1512","4.0961","3.9715"
184,"COK","Cook Islands","6.7446","6.7018","6.9836","7.1605","7.7295","7.8666","6.5594","10.0495","8.0325","8.0362","8.163","6.7953","7.3206","7.1237","7.0071","6.8867","6.5451","6.134","7.7642","6.9343","8.1744","8.2556","6.1055","7.2969","7.1924","6.7207","4.7577","7.8323","6.2193","4.9122","5.964","6.6929","7.7213","7.3173","8.5521","9.959","11.4071","12.832","7.2667","7.6279","7.6121","10.2938","9.0707","7.314","8.4818","9.8739","9.7254","9.6993","9.2367","8.8821","9.0734","9.3319","9.4566","9.3718","9.1565","9.3066","9.0686","9.1551","8.8927","9.0314","9.0363","9.0133","9.0238"
188,"CRI","Costa Rica","2.8422","2.999","3.2106","3.3628","3.7336","4.0413","4.169","4.3323","4.3422","4.4115","4.6215","4.7588","5.1808","5.02","5.6078","5.6309","6.2486","6.2654","6.3212","6.3508","6.429","5.7361","6.6423","6.957","6.7881","6.6485","6.4534","6.9255","7.3887","7.7888","8.0997","8.3769","9.0405","9.7184","9.9854","10.152","10.6293","9.4514","10.1453","10.2986","10.114","9.3995","9.9888","10.1099","10.3299","10.8772","11.2273","11.7925","10.8702","11.3017","11.2284","12.1032","12.295","12.4339","11.9867","13.2645","11.6074","12.5242","9.9146","10.8417","11.3978","10.8918","10.6137"
384,"CIV","Cote d'Ivoire","1.6087","1.7719","1.8476","1.9652","1.8639","2.0277","2.0061","2.2212","2.2978","2.3271","2.4545","2.3725","2.4428","2.5405","2.7458","2.6694","2.6039","2.6611","2.9128","3.1476","3.2003","3.0602","3.0992","3.1627","3.2537","3.1915","3.2817","3.2739","3.5317","3.302","3.512","3.499","3.0719","3.4169","3.2881","3.4359","3.6262","3.831","3.8866","4.1417","4.1151","4.2862","4.2668","3.7783","3.9067","3.857","3.5506","3.6532","3.5093","3.8679","3.9719","4.0334","3.9866","4.0709","4.0145","3.9256","4.0197","3.8276","3.9439","3.9724","4.1394","4.0787","3.9643"
191,"HRV","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.3655","9.4331","8.6892","9.2895","10.1432","11.3332","11.2213","10.6255","11.3688","13.4764","14.9591","9.8647","14.3949","14.2466","14.8019","13.2122","17.7346","16.5879","14.1951","13.9965","12.8229","15.7408","15.8322","15.1822","18.6332","15.7944","18.3889","18.379","18.5941","17.638","15.3745","14.2698"
192,"CUB","Cuba","12.0957","8.369","6.9985","6.9919","9.7867","8.3315","9.5489","7.8599","6.8616","10.6124","7.1802","5.7102","5.7787","6.5045","6.082","5.9543","6.7644","7.6016","8.1281","6.9921","7.2421","7.758","7.368","7.9588","6.9645","6.908","6.8983","7.0855","7.6019","7.5594","7.2145","5.8265","3.85","3.8723","3.2755","4.2511","4.0252","3.7176","4.0736","4.8212","4.5971","4.8486","4.3284","4.4389","3.1871","2.7922","3.05","3.2878","3.4313","3.2178","3.4458","4.1672","4.4578","4.3162","4.5765","4.7339","4.5315","3.8711","4.0946","3.2689","2.4941","2.2572","2.2287"
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus","2.3386","2.6919","2.7393","2.1398","3.7709","2.6504","3.7615","2.9078","3.5647","2.5936","3.8362","3.4508","1.335","4.5903","4.4315","5.0552","4.8154","4.8661","4.831","5.4461","5.0533","4.8502","4.1799","5.033","5.6757","4.9331","5.8245","7.2142","6.778","5.8469","4.2486","7.7126","8.1751","6.9601","7.7375","7.254","3.8549","4.759","6.5655","4.7991","6.4354","7.6152","6.7327","5.8649","4.2538","4.5697","4.3589","3.4728","4.4119","5.1663","5.3945","5.6023","4.7469","3.8001","5.2372","3.2051","4.1327","3.2901","4.6632","4.5303","4.2503","4.6201","4.0478"
203,"CZE","Czechia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.8522","9.8241","10.2092","10.2514","10.4164","10.3878","11.1812","10.3812","11.6584","12.1127","10.0574","15.6517","13.8272","12.5688","13.8372","15.7052","15.3747","13.9165","16.3013","13.8154","16.1902","18.6497","16.9495","17.929","15.8304","15.5918","15.7938","16.7755","16.6202","17.1197","16.8402"
180,"COD","Dem. Rep. Congo","1.6358","1.6036","1.5929","1.5801","1.5411","1.5917","1.6596","1.7859","1.8376","1.8863","1.8793","1.9077","1.9454","1.9629","1.9999","2.0113","2.0162","1.9521","2.0152","2.0934","2.1232","2.2658","2.3248","2.3813","2.4266","2.4582","2.5032","2.5696","2.6548","2.8147","2.9265","3.0172","3.1218","3.2294","2.6701","2.6732","2.6878","2.738","2.6984","2.6468","2.6028","2.577","2.5972","2.6247","2.6378","2.6687","2.696","2.7044","2.3772","2.8816","2.7057","2.4781","2.475","2.4296","2.4155","2.4547","2.4107","2.4073","2.4184","2.5124","2.5419","2.4786","2.481"
208,"DNK","Denmark","7.1802","7.9788","7.9484","9.0334","8.8453","8.5873","8.9152","9.754","9.7092","9.2138","10.2798","10.2646","9.8679","10.9672","9.594","8.923","11.1731","11.2128","11.6184","10.938","11.5451","12.9956","10.8058","16.1101","15.4112","15.629","14.2274","15.589","17.1114","18.9263","17.7657","13.5061","16.0518","15.8156","17.7592","17.6184","18.4148","18.3016","17.3988","17.9309","17.4371","16.719","17.4184","17.6072","17.0642","16.001","16.1195","16.9305","18.3244","16.2946","15.6576","17.0214","16.8518","17.9551","19.0917","16.806","19.0496","13.1312","18.0924","17.8628","16.9055","18.9342","14.9873"
262,"DJI","Djibouti","0.9314","0.9314","0.9314","1.0237","1.2937","1.3803","1.4703","1.5605","1.561","1.6537","1.6537","1.8342","1.9302","2.1226","2.135","2.3295","2.5169","2.7894","4.0776","15.0271","15.4448","16.3988","16.422","18.3096","18.4579","20.279","20.2681","18.4685","20.3641","31.1185","20.6105","21.2267","21.1964","21.5974","20.4351","20.6485","21.2671","21.5479","22.3691","22.9863","23.6682","24.3681","19.4842","21.7092","21.6639","16.5672","17.1228","20.3892","19.8425","16.9596","15.0597","17.5892","16.6515","16.3677","16.62","16.5945","25.7037","31.2377","40.8546","33.1938","27.2099","23.3997","26.4948"
212,"DMA","Dominica","4.7074","4.1918","4.5265","4.5151","5.1685","5.1308","4.8852","5.1332","5.3026","5.0669","5.0503","4.985","5.5951","5.6292","5.9423","6.3047","6.5796","7.0483","6.0587","4.2643","4.6934","5.5046","6.2992","6.2779","6.2331","6.6171","6.8143","8.0532","7.5915","7.0839","6.8136","6.6444","7.0796","6.4614","6.4816","7.2428","6.9785","6.6532","5.8943","5.2203","4.5265","4.4169","4.2163","4.3031","4.2158","4.4467","4.4784","4.9076","4.5608","3.6447","3.8801","4.2373","4.5792","4.6571","4.8854","5.0797","4.9186","4.8279","4.8646","4.8381","4.8535","4.9979","5.0171"
214,"DOM","Dominican Republic","4.7708","4.83","4.6268","4.7664","3.9268","4.3027","4.2158","3.8578","4.6911","4.9199","5.2975","5.2243","5.2848","5.2531","4.7518","5.197","5.1192","5.2177","4.8649","4.511","4.6532","5.194","5.412","5.3599","4.7067","4.5029","4.9101","4.8642","4.9912","4.8004","4.8436","5.1421","5.0022","4.5655","4.9158","5.1044","6.1634","5.3495","5.3223","6.8826","9.694","10.2139","10.8062","9.5657","10.8504","13.1286","13.0957","10.0128","13.0869","13.2272","13.2697","13.5321","12.9983","15.7432","16.6116","17.1318","17.5063","19.2771","20.8203","20.9112","21.8649","22.4431","25.9037"
218,"ECU","Ecuador","3.0307","3.0242","3.1402","3.4619","3.7752","3.7268","3.5984","3.6047","3.4649","3.3201","3.2314","2.9748","3.0624","3.3801","3.466","3.2618","3.316","2.9824","3.0968","3.4751","3.5085","3.3522","2.6206","3.1011","3.2856","3.6515","3.7958","3.9885","4.1978","4.0984","3.4309","4.0124","4.3368","4.6727","4.329","4.6432","4.9596","4.3258","5.2275","4.3456","5.3178","5.5626","6.0198","6.4901","6.278","6.3305","7.2145","6.792","6.9615","7.1095","6.7338","7.0644","6.2758","8.1791","8.6438","7.457","7.983","7.59","7.5711","7.7208","8.5132","8.3896","7.9202"
818,"EGY","Egypt","13.1677","17.3139","17.3534","17.8604","16.7622","15.7897","15.0934","16.3065","17.0027","17.0108","17.2489","17.4229","17.4237","16.7781","16.8241","17.8508","17.7006","19.6688","21.0889","21.6702","21.3943","21.7958","21.4742","20.9479","21.7745","21.5009","22.1598","22.1164","23.6451","25.6982","27.0017","25.0897","26.0918","24.4825","24.5803","27.106","27.7154","27.0358","26.8378","29.3439","28.5509","29.3018","29.0193","29.9768","30.7215","31.3184","31.0814","32.0798","30.167","27.6911","31.4571","31.8334","31.6854","31.9327","31.6441","31.9326","31.6581","27.7903","30.3177","30.2542","31.7227","31.2081","31.6457"
222,"SLV","El Salvador","4.9819","6.0583","6.6535","6.7691","7.4054","6.6402","5.9788","6.0783","6.6612","7.3771","7.7868","7.7553","8.5712","8.9528","9.5748","8.1588","8.8774","9.6419","8.7839","8.045","7.1031","6.8597","7.2627","7.4648","7.0495","6.2768","5.6578","6.0707","5.9077","6.1082","6.1343","7.2535","6.6844","5.9086","6.5171","7.2472","7.0539","6.8382","7.0954","6.6972","6.6868","6.6548","6.9303","7.2645","7.708","8.2589","7.614","8.6334","8.4668","7.0578","6.9142","7.9797","7.8039","7.632","6.8839","7.9838","7.7786","7.1635","7.5016","7.2668","7.5568","7.1705","7.1489"
226,"GNQ","Equatorial Guinea","1.6063","1.8584","1.9243","2.0961","2.089","2.2169","2.0985","2.2972","1.9067","2.2323","1.6956","1.1905","1.2627","1.3172","1.1538","1.0023","1.0029","1.0408","1.0656","1.196","1.3252","1.234","1.2608","1.3936","1.3588","1.3924","1.5118","1.51","1.4256","1.6349","1.5285","1.4302","1.3887","1.3963","1.4371","1.454","1.4636","1.417","1.5005","1.5446","1.5443","1.4852","1.5581","1.6193","1.6764","1.6955","1.7835","1.8057","1.8029","1.8633","1.9074","1.9526","1.9506","1.9643","2.1057","2.0216","2.0938","2.1393","2.1931","2.18","2.1595","2.1777","2.1858"
232,"ERI","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.2497","3.0519","2.1232","1.9259","1.9216","4.259","3.1983","1.4674","2.1375","0.9453","1.2267","1.2349","2.6919","2.5823","3.137","0.9743","1.6307","1.6724","2.113","2.0803","2.0612","2.0822","2.0918","2.082","2.0944","2.0942","2.0955","2.0965","2.0973","2.099","2.1005"
233,"EST","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.4171","3.1249","2.4225","2.7173","3.1637","3.1895","2.7927","2.3155","3.7683","3.8156","4.074","4.5823","5.3528","5.9445","5.3397","7.2364","6.7149","7.1759","5.6427","6.4798","7.9554","8.0869","9.2696","11.519","7.2775","9.7252","6.9638","11.8417","12.0528","9.8609","11.5632","8.9844"
748,"SWZ","Eswatini","3.8707","3.2206","3.5938","3.6481","3.9186","4.4985","5.3257","4.738","5.1599","6.0041","6.5766","6.4634","5.8082","7.5729","7.0814","7.3457","7.086","6.9296","6.1522","8.013","11.6962","10.4271","9.693","10.2942","11.3253","11.6319","10.0142","10.3794","9.582","10.7691","9.9823","8.7514","8.6013","8.6947","9.0103","9.9429","10.2739","10.2887","10.8648","9.2091","8.7872","9.2821","9.0615","9.5582","10.2812","9.687","9.0517","9.5616","9.7574","10.1278","10.2822","10.5178","11.1647","11.1291","10.7047","10.0315","10.8778","11.3785","11.1304","11.123","10.5105","11.4412","10.886"
231,"ETH","Ethiopia","1.822","1.7859","1.7851","1.8462","1.8219","1.8566","1.8842","1.8584","1.9183","1.9863","2.0035","1.9511","1.7164","1.67","1.5227","1.711","1.718","1.5747","1.9648","2.4371","2.2247","2.2059","2.606","2.2275","1.8324","2.0394","2.3536","2.5314","2.4835","2.6929","2.8037","2.366","2.5221","2.5009","3.1662","4.1176","4.0956","3.3342","3.6946","3.7166","4.3354","4.1576","3.9315","3.7883","4.4819","4.3087","4.3686","4.768","5.2314","5.4418","5.5397","5.9205","6.337","6.7147","7.064","7.1287","7.4721","7.1985","7.3532","7.3771","6.9881","7.3","7.4437"
234,"FRO","Faeroe Islands","21.8211","20.7407","23.316","19.2081","17.9518","20.2759","17.9393","18.6302","15.4142","20.5523","16.3438","14.7735","13.2911","13.3791","12.6379","17.0222","16.3313","16.3313","16.3313","16.3313","16.3313","16.3313","16.7081","16.9594","17.5875","17.5875","17.5875","17.5875","17.5875","18.2156","18.5794","19.0646","18.9497","19.0066","19.0211","18.9986","18.9446","18.8649","18.7661","18.6534","18.5282","18.3655","18.2379","18.1244","18.0238","17.9413","17.5875","17.8884","17.9332","17.7703","18.2997","18.8438","20.1","21.2722","17.4802","19.023","18.5432","18.4902","18.4304","17.4128","17.495","17.5256","17.5561"
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji","8.7208","9.9934","11.1854","11.0629","9.9123","9.2703","9.271","11.4672","11.0366","11.4722","10.6076","9.7582","10.0088","9.3335","8.7023","8.9568","9.814","9.3332","11.1095","9.998","10.4824","10.5925","7.4863","10.7822","8.2027","10.3284","7.2958","7.126","8.2724","8.4544","6.7679","7.4591","7.3887","7.8698","8.2511","8.2793","8.0629","6.4971","8.4531","8.4934","8.0176","8.4496","7.6432","8.7943","9.3196","10.3352","10.04","9.8843","9.984","5.1411","6.3743","4.709","5.6218","6.2538","6.1134","4.8663","5.543","5.7358","6.1625","6.1535","5.64","6.4233","6.5983"
246,"FIN","Finland","3.1394","2.3917","3.0651","2.7998","3.5401","3.1149","3.5104","3.6754","4.0323","4.5427","4.8298","4.8844","4.6125","4.6757","5.6101","6.4824","4.8179","5.1204","5.495","5.8288","4.3111","6.1025","7.0289","6.5624","6.5705","6.5618","4.0614","5.5149","7.1415","7.8811","6.2991","5.1602","6.3536","6.2678","6.6973","7.2205","7.5094","5.3472","5.7084","7.6249","6.998","7.4273","7.0227","6.6858","7.5153","7.0077","7.4697","7.4566","7.7384","5.8209","6.79","6.4869","7.2947","7.3726","6.6768","6.5151","6.239","5.1545","7.238","6.2619","4.9696","6.7286","5.6973"
250,"FRA","France","5.1732","6.1631","6.0902","6.3855","7.0455","6.4434","7.6782","8.1702","8.073","7.898","9.1293","9.7106","10.3357","9.8668","8.7418","8.244","9.4926","10.6917","10.5924","11.6692","11.4048","12.0809","11.3507","13.9452","13.6117","12.4897","13.9488","14.9798","15.2358","15.4258","15.8763","15.8064","14.593","14.2518","14.295","15.9719","16.473","17.4463","16.8557","16.3898","14.7909","16.9615","14.1211","17.3096","16.18","15.4312","15.0587","17.0116","17.6462","16.6707","16.5337","16.9989","16.4832","18.0164","17.9236","14.2777","17.6238","16.1264","17.4042","15.143","17.434","16.4117","17.3279"
258,"PYF","French Polynesia","18.6746","21.5721","20.9272","20.311","17.9246","17.8601","16.259","15.53","21.3579","19.6515","18.2776","16.2167","12.6925","11.286","18.1018","16.0292","12.7621","11.6648","12.6463","16.796","14.0881","16.2753","10.3514","7.8691","12.327","12.4136","13.5343","11.0384","10.7174","12.4326","10.0654","10.1584","10.0966","10.1842","10.9972","10.5113","10.3324","7.5615","8.2129","9.6308","9.0658","9.5518","9.3555","8.8586","9.9302","10.3782","10.3874","9.811","8.723","9.186","9.0748","9.0528","8.8527","8.9462","8.5278","8.9385","8.5993","8.4123","8.6099","8.2509","8.2708","8.1489","8.1471"
266,"GAB","Gabon","1.6219","1.4789","1.3152","1.2018","1.1175","1.0648","1.0231","1.0205","0.9433","0.9516","0.9082","0.8735","0.8378","0.8323","0.8126","0.769","0.8171","0.8511","0.9119","0.9701","0.9635","0.9805","1.0143","1.0215","1.0483","1.1621","1.2151","1.2698","1.2316","1.2719","1.3442","1.3044","1.2927","1.3117","1.3135","1.3414","1.327","1.4177","1.4019","1.5099","1.4705","1.5104","1.5492","1.5401","1.5875","1.6043","1.6662","1.7734","1.8259","1.9055","2.0228","2.0805","2.1713","2.225","2.2601","2.284","2.3527","2.3676","2.4356","2.5079","2.7241","2.9457","2.9683"
270,"GMB","Gambia","5.836","5.9716","5.6099","5.7579","6.1484","6.3843","5.7161","6.3159","5.8045","6.036","6.2322","5.3358","5.933","4.417","4.3753","4.211","3.1851","4.1306","2.6617","3.0942","4.1546","4.5407","3.7477","4.3683","4.3748","4.5235","4.3279","3.7901","4.8231","3.4503","3.8134","3.6678","4.2602","3.8412","3.6463","3.118","3.4298","3.2245","4.5475","4.9918","5.3324","3.1957","4.2612","4.9165","4.1913","4.2136","2.8333","3.4825","3.6943","4.017","2.2546","2.8724","2.632","2.1376","2.6284","2.058","1.622","1.1366","1.1832","1.2988","1.3679","1.4471","1.5865"
268,"GEO","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.492","2.1683","2.3887","2.6747","2.9533","3.9313","2.8862","3.6718","2.1203","3.3471","3.0029","3.4156","5.8435","6.0892","2.8548","3.7819","3.7599","3.2947","2.4876","4.0555","3.8369","4.4805","3.909","3.8719","4.5766","3.4283","4.424","4.3765","4.8422","5.0685","4.5494","4.6716"
276,"DEU","Germany","7.8786","9.588","9.8276","9.9457","9.102","9.3683","11.1878","11.3896","10.476","10.3466","11.4861","11.6878","11.9691","12.9321","11.7708","10.677","12.1262","13.0214","12.4759","12.5188","12.5754","13.5168","12.4458","14.6385","14.7596","14.7407","14.351","14.8316","14.8375","15.026","16.1121","14.8587","15.1069","14.891","16.0814","16.3711","17.8001","18.0445","18.7018","18.6333","19.9689","17.8712","16.2863","21.0593","19.1762","18.3195","17.6571","20.1165","20.8453","18.7507","17.3972","18.7997","19.7459","21.8298","19.9284","19.038","19.2918","16.0445","17.7888","18.0635","17.9346","18.6057","18.3202"
288,"GHA","Ghana","2.3646","2.3686","2.3642","2.6893","2.3791","2.5808","2.7448","2.5959","2.7253","3.1454","3.2242","2.9142","3.029","3.4357","2.9885","2.6621","2.3089","2.1728","2.463","2.3807","2.5376","2.1568","2.0362","2.6437","2.3956","2.557","2.6335","2.7472","2.9833","2.3021","3.4258","3.341","3.72","3.3913","3.7323","3.7812","3.3701","3.6545","3.6964","3.6849","3.6921","4.2713","4.3287","4.37","4.4268","4.4977","4.0369","4.7413","5.1503","5.2193","5.3836","5.6716","5.5752","5.6773","5.6036","5.609","5.9773","6.244","6.7088","6.8452","7.3716","7.4309","7.674"
300,"GRC","Greece","7.419","5.4048","6.5152","6.1438","6.7403","7.084","7.5073","6.0604","6.4055","7.541","7.5133","8.1447","7.7943","8.6567","9.2135","8.8541","8.3871","9.5759","8.8798","11.0815","10.8206","11.2766","10.0105","10.5434","11.1839","11.2328","11.0881","12.1199","12.8901","9.7415","13.1985","12.5249","12.5314","14.1852","14.5096","14.2536","14.4339","14.8751","14.8476","15.4898","15.2623","15.8676","13.6392","14.818","15.6441","14.23","13.7742","14.2229","14.1746","13.6354","13.8764","14.3677","12.7529","14.9998","16.2471","15.2714","15.7666","14.7379","15.9764","17.8625","17.6702","5.9363","5.7774"
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada","3.0218","3.1154","3.3381","3.1514","3.4151","3.4561","3.8147","3.798","3.8327","3.5612","3.4403","3.4073","3.2528","2.83","3.0257","3.3194","3.2384","3.79","3.8596","3.9868","4.1941","3.8697","3.727","4.0263","4.3183","4.1456","5.0681","4.7775","4.7319","4.9316","5.2645","5.1332","5.3159","5.3127","5.6839","5.0968","4.9378","4.7347","4.215","4.3266","3.6859","3.8752","3.9632","4.0191","4.3569","4.6233","5.0026","5.0238","4.3284","5.4438","5.6506","6.9517","7.031","7.3561","7.3064","7.6508","7.1497","7.351","6.8807","6.545","6.7989","6.7091","6.5877"
320,"GTM","Guatemala","2.4749","2.9344","3.5423","3.9522","4.1245","4.1909","3.763","4.3869","4.5479","4.4619","4.2547","4.9304","5.3816","5.9457","6.0183","5.9061","6.4497","6.747","6.9956","6.8649","6.471","5.8339","5.3117","5.3368","5.6565","5.7756","5.4045","5.8574","5.8898","6.6296","6.6974","7.1633","6.4107","6.0061","6.3386","6.4503","6.1583","6.3549","5.9798","5.7556","5.9999","6.0067","5.8496","6.7699","7.1246","6.9863","7.386","7.5259","7.918","8.1357","8.1757","8.9167","9.5266","10.2024","10.0154","10.1404","9.1719","9.3932","9.18","9.1457","9.1389","9.2561","9.3403"
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea","0.9951","1.0161","0.9416","1.0165","0.9747","1.0354","1.08","1.0868","1.0951","1.1275","1.1599","1.1377","1.141","1.1591","1.1817","1.2326","1.2524","1.2634","1.3098","1.3338","1.3577","1.3743","1.3893","1.4647","1.5001","1.5476","1.5589","1.5785","1.6688","1.7309","1.845","1.9201","2.0021","2.0649","2.1383","2.1992","2.3133","2.4389","2.5772","2.7602","2.6767","2.7384","2.893","3.0613","3.2285","3.3151","3.362","3.3417","3.3081","2.9929","3.0873","2.9388","3.0086","2.8445","2.8663","2.932","3.015","3.0796","3.1754","3.2046","3.316","3.4296","3.4919"
624,"GNB","Guinea-Bissau","2.4785","2.5072","2.3501","2.2708","2.0671","2.0447","1.9401","1.888","1.7886","1.7965","1.6364","1.7583","1.5956","1.7589","2.0898","2.3739","2.1424","2.0502","2.1115","2.2773","2.6598","2.9106","2.4161","2.6806","2.5747","3.0389","2.9537","2.9653","2.8153","2.8892","2.7701","2.8047","2.7724","2.7543","2.8925","2.8087","2.6018","2.7146","2.6277","2.6384","2.7272","2.7849","2.7664","2.9474","3.2598","3.398","3.1949","3.7148","3.5901","3.6976","3.5003","3.7369","3.8592","3.4361","3.7504","3.7753","3.7913","3.8619","3.8348","3.9955","4.0831","4.1564","4.1741"
328,"GUY","Guyana","17.9919","18.2379","15.9672","18.4762","18.0024","18.8942","18.4119","16.5068","18.8397","17.8776","18.9901","16.1952","15.4421","19.8364","19.0723","17.0132","19.4463","20.7449","18.2598","19.1753","19.9928","19.9016","17.4368","17.6781","16.7774","17.2664","15.7904","14.9024","13.8606","12.3173","15.3874","16.6523","17.9613","19.4534","23.2267","24.1365","24.8473","22.0067","24.0609","20.3059","22.08","21.693","23.2347","22.9638","19.231","20.9798","20.4127","20.7345","21.901","22.009","24.5559","24.0932","27.6254","31.8483","42.3831","32.9904","39.1564","37.6741","39.4084","40.0571","35.667","37.5405","39.64"
332,"HTI","Haiti","3.2957","3.2734","3.3278","3.3461","3.3783","3.3662","3.4059","3.316","3.4603","3.5203","3.6117","4.1209","3.8257","3.8658","3.8314","3.884","3.6726","3.7799","4.017","3.973","3.9732","3.9568","4.0867","4.0589","4.0526","4.0372","3.9284","3.896","3.8186","3.4427","3.5061","3.6685","3.4752","3.3436","3.2046","3.2989","3.2699","2.9341","3.1546","3.0216","2.924","2.9081","3.0062","3.2129","3.1454","3.2123","3.7968","3.5277","3.9334","3.9338","3.9536","3.6982","4.1554","4.0201","3.4003","3.1369","3.3","3.1886","3.3752","3.0195","3.207","3.0914","2.9947"
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras","1.3628","1.4643","1.5074","1.7057","1.7623","1.8678","1.9117","1.9329","1.9677","1.8648","1.8893","1.9092","1.8679","1.8584","1.7557","1.786","1.9806","2.196","2.0839","2.2054","2.3713","2.1974","2.2925","2.3714","2.2289","2.2659","2.3253","2.263","2.4455","2.6463","2.5919","2.538","2.3892","2.4854","2.6204","2.8706","3.0033","2.7847","2.5588","3.6183","3.6462","3.702","4.1291","4.117","4.2717","4.4062","4.9551","4.9128","5.2012","4.4939","4.5744","4.7503","4.8047","4.626","4.8895","5.1041","5.4525","5.5866","5.2597","5.14","4.953","4.9847","5.1233"
