"code","iso","country","PPC.raw.1996","PPC.raw.1997","PPC.raw.1998","PPC.raw.1999","PPC.raw.2000","PPC.raw.2001","PPC.raw.2002","PPC.raw.2003","PPC.raw.2004","PPC.raw.2005","PPC.raw.2006","PPC.raw.2007","PPC.raw.2008","PPC.raw.2009","PPC.raw.2010","PPC.raw.2011","PPC.raw.2012","PPC.raw.2013","PPC.raw.2014","PPC.raw.2015","PPC.raw.2016","PPC.raw.2017","PPC.raw.2018","PPC.raw.2019","PPC.raw.2020","PPC.raw.2021","PPC.raw.2022","PPC.raw.2023"
"70","BIH","Bosnia and Herzegovina",0.77,0.75,2.93,1.69,1.68,1.67,1.67,0.85,3.18,2.86,2.49,3.1,2.2,1.18,2.69,2.59,2.68,2.44,2.25,2.52,3.33,3.19,2.34,2.78,3.17,2.08,1.57,2.19
"72","BWA","Botswana",0.07,0.13,0.19,0.18,0.18,0.18,NA,NA,NA,NA,NA,NA,NA,0.45,0.41,0.36,0.12,0.18,0.52,0.93,0.34,0.73,0.62,0.72,0.92,0.52,0.67,1.37
"76","BRA","Brazil",10.38,12.03,11.96,11.38,13.44,14.08,15.2,17.37,21.5,15.59,16.38,21.62,18.72,13.76,17.08,21.96,20.76,24.8,25.48,21.44,19.61,22.34,24.78,23.43,34.67,31.61,27.27,21.02
"92","VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,0.03,0.16,0.28,0.38,0.14,0.91,0.25,0.31,1.41,0.19,0.2,0.18,0.56,0.55,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51
"100","BGR","Bulgaria",1.57,1.34,1.11,0.75,0.5,3.31,11.53,21.9,3.01,5.11,10,14.42,16.24,6.26,3.78,6.61,6.7,7.17,7.51,9.19,11.59,9.58,10.86,11.01,11.38,10.61,10.75,11.74
"854","BFA","Burkina Faso",0.59,0.91,1.59,1.6,1.27,0.04,0,1.03,1.07,1.59,1.25,0.9,0.88,0.81,0.48,0.92,0.97,1.3,1.17,1.2,1.57,1.27,1.12,0.65,1.29,0.74,1.21,1.62
"108","BDI","Burundi",0.3,NA,0.2,0.22,0.15,0.15,0.12,0,0.09,0.3,0.08,0.08,0.04,0.07,0.14,0.28,0.25,0.65,0.42,0.35,0.44,0.57,0.82,1.11,1.08,1.05,3.07,2.99
"132","CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,0.01,0.02,0.04,0.04,0.08,0.08,0.05,0.07,0.05,0.08,0.06,0.04,0.03,0.05,0.03,0.04,0.02,0.03,0.06,0.05,0.04,0.03
"116","KHM","Cambodia",0.25,0.26,0.36,NA,NA,NA,1.29,1.09,1.29,1.94,1.96,1.85,1.64,2.15,2.41,2.58,2.94,2.69,2.41,2.05,1.55,2.57,2.34,3.22,3.58,4,2.39,3.39
"120","CMR","Cameroon",0.37,0.51,0.54,0.69,0.51,0.65,0.63,0.72,0.79,0.36,0.65,0.38,0.37,0.24,0.55,0.43,0.61,0.47,0.54,0.56,0.55,0.41,0.7,0.59,0.69,0.49,0.54,0.48
"124","CAN","Canada",23.63,23.85,21.98,21.83,18.47,19.66,20.81,21.54,18.99,21.37,18.8,22.48,20.07,16.61,19.03,23.79,22,24.28,26.44,27.92,26.71,27.79,30.3,29.93,31.28,28.45,26.3,28.63
"136","CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","CAF","Central African Republic",0.03,0.03,0.06,0.05,0.05,0.05,0,0,0.01,0,0.02,0.04,0.02,0.02,0.05,0.05,0.01,0.01,0,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0
"148","TCD","Chad",0.32,0.31,0.22,0.24,0.23,0.23,0.21,0.26,0.32,0.18,0.23,0.17,0.2,0.17,0.28,0.31,0.27,0.28,0.25,0.24,0.28,0.32,0.27,0.32,0.28,0.26,0.36,0.34
"152","CHL","Chile",9.84,10.71,11.44,10.75,11.09,11.41,8.06,9.5,10.59,9.55,8.55,9.94,7.46,5.58,7.19,6.82,6.47,7.03,8.33,8.77,6.97,7.18,7.4,5.94,7.09,7.31,4.14,5.08
"156","CHN","China",6.59,7.47,7.56,7.07,6.78,6.95,7.95,7.46,8.24,8.77,9.04,7.77,8.04,9.53,10.55,10.05,10.08,9.98,9.61,9.06,8.86,8.47,7.8,7.4,7.18,7.08,6.72,6.58
"170","COL","Colombia",3.1,3.32,3.36,3.03,3.37,3.34,3.52,3.37,4.58,4.08,4.73,4.44,3.56,3.27,4.42,4.39,5.03,4.28,4.87,4.93,4.78,5.08,4.54,4.49,4.84,4.6,3.71,3.3
"174","COM","Comoros",0.2,0.2,0.19,0.19,0.19,0.18,0.03,0.01,0.02,0.01,0,0,0.01,0.01,0.01,0,0.01,0,0,0.01,0.01,0,0.03,0.05,0.16,0.08,0.1,0.09
"184","COK","Cook Islands",NA,NA,NA,NA,NA,NA,0.73,0.8,0.53,1.26,1.18,0.13,1.06,1.03,0.35,0.34,0.34,0.36,0.23,1.15,0.42,0.25,0.39,0.27,0,0,0,0
"188","CRI","Costa Rica",7.79,8.37,8.72,8.29,7.36,4.54,5.75,7.65,5.56,5.08,5.61,5.62,4.77,3.7,3.76,5.55,4.58,3.67,3.72,4.67,2.2,4.16,3.37,3.08,4.19,3.49,2.7,3.29
"384","CIV","Cote d'Ivoire",0.97,1.56,1.5,0.84,0.63,1.25,1.46,1.72,0.43,0.54,1.09,0.75,0.22,0.31,1,0.4,0.79,1.52,1.44,1.69,2.07,1.63,0.97,2.26,1.73,1.62,0.6,2.01
"191","HRV","Croatia",10.56,12.43,8.55,9.99,11.33,8.9,9.26,14.82,11.33,17.71,19.01,18,21,10.29,23.77,23,7.71,6.76,9.16,7.06,3.2,8.36,8.86,8.64,8.91,8.77,8.3,6.98
"192","CUB","Cuba",2.92,3.18,1.34,2.11,2.19,2.92,2.32,1.03,0.41,1.22,2.24,1.87,2.44,0.5,2.21,1.85,2.54,2.43,1.79,2.46,1.72,1.25,0.68,0.69,0.69,0.69,0.05,0.19
"531","CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","CYP","Cyprus",10.75,8.63,8.2,7.9,5.17,5.35,5.8,6.55,5.1,4.73,4.48,4.21,1.97,4.64,4.64,2.41,4.21,3.76,3.29,3.99,4.35,3.97,4.09,4.1,3.87,3.26,2.72,3.38
"203","CZE","Czechia",4.9,4.56,4.99,3.45,4.23,5.13,4.04,4.48,4.22,4.22,4.57,4.74,3.39,3.37,3.82,4.1,3.91,3.95,3.99,4.62,4.5,5.25,4.88,5.5,4.5,3.43,3.51,2.71
"180","COD","Dem. Rep. Congo",0.04,NA,0.01,0.01,0.01,0,NA,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.05
"208","DNK","Denmark",10.07,9.46,8.86,7.7,6.74,6.34,6.14,5.94,8.4,7.69,7.32,7.45,7.29,4.05,5.94,6.15,4.11,6.22,5.68,5.82,5.52,8.27,5.86,5.81,6.4,5.91,4.28,3.99
"262","DJI","Djibouti",NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.02
"212","DMA","Dominica",13.04,14.43,14.47,14.52,14.6,14.64,2.05,3.6,4.71,6.68,3.55,10.86,0.15,1.66,1.52,4.89,2.83,3.18,3.17,4.57,3.62,1.53,2.52,5.23,2.22,2.86,1.6,0
"214","DOM","Dominican Republic",2.23,2.69,2.44,2.17,1.79,0.28,0.34,0,0,0.37,0.57,1.54,2.12,1.83,2.65,2.23,2.12,2.34,2.21,2.02,2.11,1.89,5.35,0.64,1.14,1.39,0,0
"218","ECU","Ecuador",1.95,2.67,2.41,2.97,2.79,5.97,2.8,2.53,3.19,2.79,2.54,2.59,1.79,2.14,2.54,2.17,2.2,2.52,2.97,2.85,2.49,3.47,3.29,3.16,3.12,3.09,1.99,1.48
"818","EGY","Egypt",1.82,1.97,1.84,2.1,2.1,2.09,1.83,1.85,2.42,2.23,2.9,2.01,2.1,1.71,1.69,1.65,1.75,2.93,2.6,3.34,2.23,2.54,2.1,2.6,2.03,2.04,2.13,2.09
"222","SLV","El Salvador",3.79,2.24,2.72,1.98,2.24,1.49,2.44,1.75,2.1,3.68,2.15,2.68,1.28,1.58,4.2,4.6,3.35,3.05,2.13,2.32,1.74,2.4,2.35,1.37,1.3,1.67,0.75,1.99
"226","GNQ","Equatorial Guinea",NA,NA,NA,NA,NA,NA,0.13,0.08,0.09,0.05,0.06,0.05,0.05,0.04,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.06,0.05,0.06,0.05,0.05,0.07,0.07
"232","ERI","Eritrea",0.56,0.46,0.69,2.49,2.45,0.77,0.28,0.06,NA,NA,0,0.61,NA,0.48,NA,NA,0.02,0,0.02,0,0,0,0.01,0,0,0,0,0
"233","EST","Estonia",1.79,3.05,3.1,2.85,4.62,2.87,2.91,4.51,5.45,4.64,6.01,6.01,7.17,4.24,4.59,4.62,5.12,5.44,6.58,6.14,6,7.06,7.04,7,8.31,8.53,6.56,4.9
"748","SWZ","Eswatini",1.72,1.79,1.86,1.84,1.82,2.38,2.69,2.13,2.45,1.72,2.27,2.13,1.98,1.96,1.89,2.1,2.15,3.01,2.94,2.97,2.61,2.95,3.46,3.52,3.07,3.66,3.35,3.32
"231","ETH","Ethiopia",1.62,1.26,1.4,1.35,1.2,1.03,0.98,0.38,0.6,0.76,0.8,1.43,1.43,1.45,1.79,1.73,2.3,1.12,1.55,1.89,1.76,1.58,0.11,0.64,1.59,1.7,1.55,1.51
"234","FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,5.72,3.54,4.25,4.58,4.99,4.42,3.31,3.06,0.2,4.81,1.64,3.84,0.13,0.2,0.17,0.07,0.07,0.08,0.65,0.15,0.06,0.33
"238","FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","FJI","Fiji",4.98,4.93,3.89,2.4,2.38,2.35,3.16,0.07,0.02,0.05,0.03,0.02,0.19,0.64,0.27,0.04,0.42,0.89,2.35,0.69,2.33,3.13,1.73,0.75,1.5,1.86,4.37,0.89
"246","FIN","Finland",11.12,10.9,10.28,10.07,10.05,10.02,10,8.63,8.61,8.39,7.98,7.56,4.71,5.43,5.03,4.45,4.43,4.71,4.97,4.59,4.1,5.1,4.59,4.73,4.75,5.29,3.45,4.21
"250","FRA","France",18.02,17.74,17.2,16.34,13.37,12.67,11.82,12.28,11.16,9.69,8.95,10.12,4.71,2.61,4.38,3.79,6.78,7.51,6.87,6.78,6.29,7.03,6.72,6.08,6.9,6.35,3.63,3.62
"258","PYF","French Polynesia",1.77,1.75,1.72,1.3,1.25,1.14,1.17,0.99,1.13,0.87,0.89,0.96,0.81,0.78,0.77,0.67,0.6,0.64,0.49,0.65,0.45,0.67,0.77,0.51,0.57,0.67,0.47,0.23
"266","GAB","Gabon",0.09,0.08,0.19,0.08,0.08,0.08,0.12,0.1,0.18,0.18,0.2,0.2,0.19,0.18,0.01,0.14,0.48,0.39,0.57,0.86,1.64,2.65,1.7,1.43,0.84,1.18,2.58,1.76
"270","GMB","Gambia",0.31,0.37,0.07,0.07,0.07,0.07,NA,0.42,0.49,0.45,0.44,0.34,0.21,0.36,0.39,0.5,0.16,0.04,0.04,0.02,0.05,0.02,0.29,0.17,0.04,0.17,0.17,0.25
"268","GEO","Georgia",1.04,1.06,0.87,NA,NA,NA,0.63,0.1,0,0.18,0.11,0.1,0.18,0.2,0.21,0.43,0.8,1.58,1.46,1.11,1.41,1.15,0.96,1.31,1.87,1.42,1.08,1.65
"276","DEU","Germany",5.05,4.97,4.96,5.14,4.29,3.85,3.99,3.46,3.69,3.34,3.24,3.9,2.15,2.91,3.54,3.06,3.51,3.5,3.7,3.51,2.79,2.51,2.41,2.97,2.3,1.37,1.38,1.69
"288","GHA","Ghana",0.2,0.33,0.2,0.22,0.14,0.43,0.01,0.13,0.16,0.28,0.66,0.56,0.41,1.35,0.97,0.68,2.63,1.43,0.56,1.28,0.91,1.51,1,1.87,2.65,1.52,1.82,0.73
"300","GRC","Greece",13.72,12.43,11.24,11.09,10.48,10.42,9.89,10.08,9.21,7.93,7.49,6.85,5.79,4.95,6.2,5.17,5.07,5.33,4.74,4.67,4.82,4.75,5.53,5.55,6.06,6.52,5.5,4.79
"304","GRL","Greenland",NA,NA,NA,NA,NA,NA,1.56,1.59,1.75,1.84,0.35,0.37,1.61,1.69,1.6,0.29,1.87,0.37,0.21,0.25,0.96,0.27,0.31,0.31,0.31,0.31,0.32,0.32
"308","GRD","Grenada",NA,NA,NA,NA,NA,NA,0.64,0.33,0.17,0.24,0.38,0.4,0.53,0.38,0.74,0.57,1.33,0.56,0.51,0.5,0.44,0.38,0.69,0.35,0.27,0.29,0.21,0.21
"320","GTM","Guatemala",3.5,4.5,3.98,3.17,3.94,4.45,3.77,3.73,4.12,4.61,3.8,4.04,1.8,2.02,4.52,3.5,4.37,3.84,4.59,3.39,2.42,3.19,3.23,2.84,3.95,3.55,2.43,3.11
"831","GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","GIN","Guinea",0.12,0.08,0.18,0.17,0.17,0.16,0.04,0.02,0.05,0.01,0,0.01,0.05,0.04,0.01,0.25,0.15,0.28,0,0.02,0.01,0.56,0.63,0.61,0.6,0.58,0.38,0.01
"624","GNB","Guinea-Bissau",0.09,0.09,0.17,0.17,0.57,0.55,0.4,0.46,0.32,0.36,0.65,0.39,0.32,0.42,0.63,0.34,0.61,0.49,0.47,0.61,0.75,0.92,0.83,0.8,0.92,0.78,0.61,0.6
"328","GUY","Guyana",1.84,0.92,1.18,3.67,1.63,1.57,1.67,0.95,0.72,2.1,2,9.7,7.41,2.31,2.71,6.77,8.22,6.66,7.59,7.46,8.56,4.54,5.78,3.29,3.32,4.16,3.22,4.18
"332","HTI","Haiti",0.26,0.26,0.27,0.21,0.32,0.3,0.22,0.54,0.21,0.2,0.24,0.23,0.22,0.52,0.76,0.28,8.57,0.4,0.67,0.22,0.11,0.36,1.66,1.63,0.43,0.31,0.22,0.18
"336","VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","HND","Honduras",3.25,3.99,3.69,4.73,3.28,2.66,0.58,1.13,0.87,1.98,2.71,2.73,2.07,1.43,1.83,2.72,2.1,2.45,2.79,3.59,3.68,3.61,4.02,3.15,4.42,3.23,3.18,3.34
"344","HKG","Hong Kong",NA,NA,NA,NA,NA,NA,0.07,0.06,0.07,0.07,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03
"348","HUN","Hungary",7.25,7.15,3.67,4.76,4.42,6.2,6.12,6.63,7.44,6.06,7.46,8.67,6.1,4.04,4.12,5.06,5.94,7.7,8.36,8.16,9.65,12.08,11.99,11.71,11.5,11.92,6.6,5.62
"352","ISL","Iceland",13.01,15.12,15.32,15.14,14.22,19.2,16.47,11.72,17.13,14.92,17.83,19.19,17.19,13.49,17.65,19.15,21.92,21.06,27.13,11.22,20.39,5.96,5.8,4.11,4.55,4.84,4.1,2.89
"356","IND","India",3.04,3.92,4.04,4.62,3.98,4.05,3.67,3.7,4.08,4.51,4.73,4.63,5.01,5.92,6.59,6.67,5.2,4.35,4.65,5.26,4.99,5.04,5.07,5.37,6.4,5.54,5.56,5.78
"360","IDN","Indonesia",1.63,1.36,1.72,1.52,1.22,1.3,1.15,2.34,1.4,1.42,1.51,1.51,1.49,2.09,2.03,2.32,5.36,3.94,4.91,5.49,5.01,6.12,5.66,2.78,2.42,2.3,2.09,2.07
"364","IRN","Iran",5.95,5.34,5.11,5.52,6.21,4.65,5.03,5.57,6.03,6.46,7.8,5.26,5.09,4.44,5.22,1.85,1.13,2.54,3.05,1.19,1.17,1.39,1.28,1.26,1.25,1.24,1.23,1.21
"368","IRQ","Iraq",4.83,5.03,5.77,5.61,4.8,5.39,4.87,2.57,0.25,2.2,1.92,2.1,2.2,1.54,0.79,0.76,1.54,1.9,0.37,0.31,0.98,1.66,2.38,1.79,1.83,1.79,1.75,1.71
"372","IRL","Ireland",35.18,30.77,31.26,30.64,25.25,25.11,25.56,24.54,21.78,20.52,17.4,13.75,10.34,14.83,14.47,13.72,18.43,17.63,7.64,7.77,7.8,8.71,9.52,8.65,8.88,9.16,6.7,5.92
"833","IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","ISR","Israel",3.45,4.07,3.97,2.52,2.45,1.71,1.82,1.83,1.92,1.75,1.78,1.62,1.43,0.86,0.85,0.7,1.14,0.99,0.75,0.71,0.71,0.69,0.72,0.75,0.64,0.6,0.64,0.51
"380","ITA","Italy",10.06,8.76,8.88,8.98,8.8,6.45,5.51,5.47,5.46,4.87,4.61,4.74,3.34,2.86,3,3.3,2.76,2.82,2.78,2.79,2.68,2.73,2.72,2.93,3.76,1.68,1.64,1.68
"388","JAM","Jamaica",2.1,2.34,2.04,1.95,1.99,1.87,1.58,1.85,2.32,1.73,0.68,0.01,0.04,0.82,0.84,1.27,1.34,1.08,1.04,0.34,0.89,0.58,1.58,1.04,0.94,0.94,0.75,0.73
"392","JPN","Japan",4.84,4.69,4.44,4.5,4.59,4.02,3.78,3.8,3.68,3.62,3.66,3.93,2.64,2.42,3.11,2.95,2.76,2.74,2.81,2.71,2.64,2.79,2.66,2.58,2.55,2.38,2.18,2.2
"832","JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","JOR","Jordan",2.27,1.8,0.89,0.95,0.83,0.87,1.87,1.92,0.6,0.58,0.54,0.59,0.72,0.84,0.82,0.8,0.79,0.27,0.08,0.18,0.09,0.07,0.15,0.07,0.04,0.1,0.3,0.3
"398","KAZ","Kazakhstan",3.53,2.18,0.01,0.14,0.32,0.35,0.68,0.9,0.88,1.06,0.83,1.26,0.88,1.57,0.88,2.08,1.2,1.46,1.82,1.83,1.72,2.7,2.02,1.53,4.52,2.42,1.98,2.05
"404","KEN","Kenya",2.77,2.47,1.98,2.86,2.33,1.97,2.31,2.69,2.02,2.6,2.31,2.61,2.49,2.33,1.93,2.47,2.98,3.47,2.76,2.08,2.69,3.26,2.61,2.93,3.2,2.87,1.68,1.82
"296","KIR","Kiribati",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.01,0,0.13,0,0,0,0.41,0,0.01,0,0,0,0,0,0.02,0,0
"689","XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","KWT","Kuwait",NA,NA,NA,NA,NA,NA,0,0,0,0,0.42,0.79,0.48,0,0.29,0.19,0.2,0.21,0.21,0.3,0.44,0.53,0.52,0.44,0.59,0.6,0.32,0.72
"417","KGZ","Kyrgyzstan",0.21,0.21,0.22,0.24,0.28,NA,0.04,0.35,0.32,0.39,0.31,0.49,0.33,0.23,0.58,0.35,0.72,1.02,0.84,0.07,0.33,0.07,0.35,0.62,0.42,1.3,1.36,1.34
"418","LAO","Laos",0.26,0.5,0.28,0.63,0.45,0.93,0.63,0.15,0.29,0.47,0.51,0.51,0.33,0.69,0.77,2.28,2.09,2.52,3.45,3.36,2.51,2.47,2.78,3.96,3.89,3.28,1.88,2.06
"428","LVA","Latvia",2.44,3.33,4.44,4.42,4.31,5.6,3.55,4.07,7.34,6.56,6.53,7.26,6.41,5.19,7.7,8.2,9.73,12.14,11.72,12.31,12.98,13.32,13.64,14.01,16.43,17.38,13.86,12.18
"422","LBN","Lebanon",7.44,7.79,7.65,7.52,4.25,4.43,1.43,2.21,3.04,4.05,3.28,3.22,3.67,3.16,3.19,3.14,3.06,1.6,1.56,1.02,1.39,1.16,1.78,1.19,1.03,1.03,1.03,1.02
"426","LSO","Lesotho",1.01,1.01,1.05,0.94,1.21,1.7,0.39,0.26,0.28,0.5,0.32,0.43,0.12,0.13,0.06,0.02,0.04,0.07,0.05,0.03,0.15,0.47,0.86,0.12,0.21,0.16,0.11,0.22
"430","LBR","Liberia",NA,NA,NA,NA,NA,NA,0.19,0.23,0.16,0.18,0.3,0.18,0.15,0.2,0.29,0.17,0.3,0.24,0.23,0.3,0.36,0.44,0.39,0.36,0.41,0.34,0.26,0.25
