"code","iso","country","RMS.raw.1989","RMS.raw.1990","RMS.raw.1991","RMS.raw.1992","RMS.raw.1993","RMS.raw.1994","RMS.raw.1995","RMS.raw.1996","RMS.raw.1997","RMS.raw.1998","RMS.raw.1999","RMS.raw.2000","RMS.raw.2001","RMS.raw.2002","RMS.raw.2003","RMS.raw.2004","RMS.raw.2005","RMS.raw.2006","RMS.raw.2007","RMS.raw.2008","RMS.raw.2009","RMS.raw.2010","RMS.raw.2011","RMS.raw.2012","RMS.raw.2013","RMS.raw.2014","RMS.raw.2015","RMS.raw.2016","RMS.raw.2017","RMS.raw.2018","RMS.raw.2019"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",-0.00559688265320357,-0.00484331222655687,-0.00269529880903807,0.00102658895326191,0.00536083510658258,0.00994269551755056,0.0120729031975733,0.00274012716438143,-0.00699280214573883,-0.0166065690399781,-0.0248553910126211,-0.0310104457395101,-0.0330142031213967,-0.0303145793259968,-0.0222068387610846,-0.0100931878626883,0.00419145086843642,0.0145170313056546,0.0208112817403361,0.0216822495702835,0.0193959702570412,0.0153864711731375,0.0124845673542433,0.00996246642672127,0.0105163441158989,0.0115365006996113,0.0135674930403715,0.0197657910483962,0.0233816871552524,0.0233952992293434,0.0209905683037515
12,"DZA","Algeria",-0.00110052103641511,-0.00180183179564852,-0.0024422769510476,-0.00287594895941912,-0.0032995741363101,-0.00358341911734161,-0.00403958272105875,-0.00437018850841298,-0.00460829508879645,-0.00468504858475494,-0.00471648683204251,-0.00480985786564747,-0.00506660811871562,-0.00526514905833231,-0.00560679896535576,-0.00584206396579467,-0.00607580201538671,-0.00644236143741705,-0.00704486664011272,-0.00776622037226915,-0.00823442932945273,-0.00844005224473743,-0.00826567192716976,-0.00745717196424311,-0.00603922249291489,-0.00415636935596275,-0.00207882000332904,-0.000216660532770918,0.00126490123203715,0.00212153948879457,0.00240630268844377
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0.00222791036340708,-0.00281152501696891,-0.00810867034411711,-0.0132221646549466,-0.0165438366127616,-0.0170710289861056,-0.0156881123007683,-0.0118773724650915,-0.00569297545635161,-0.000156590486497854,0.00361061979552568,0.00620514161400232,0.00720010896917866,0.00680562512189864,0.0063268145677593,0.00633050164719506,0.00618106832936638,0.006091520609949,0.00559796928734935,0.00492612791364988,0.00406349043176157,0.00297434328425972,0.00154833405641042,-0.0000862922123465726,-0.00151466415976909,-0.00276390945561,-0.00334104000365998,-0.00324628297633178,-0.00300492820954734,-0.00245888067620903,-0.0012576528879108
660,"AIA","Anguilla",0.00369531535009404,0.00106425763353712,-0.00188489047259333,-0.0044064867713165,-0.00604349153855399,-0.00715089986348438,-0.0064154352102882,-0.00536661097347035,-0.00448406084073427,-0.00400328798978389,-0.00343260586737593,-0.00283175656971302,-0.00238992223622081,-0.00187892705142523,-0.00119066875142759,-0.000822351935873988,-0.000787666845508461,-0.00152596816481099,-0.00256550611230544,-0.00366212619522077,-0.00420608112647503,-0.00424076286624275,-0.00337945080178592,-0.00204310373164451,-0.000416302824536197,0.000989003404356481,0.00269604642581922,0.00400295736590572,0.00501203197350564,0.00584541916618297,0.00665463749544748
28,"ATG","Antigua and Barbuda",0.00191086220678161,0.00225188162541223,0.00300834541377148,0.00437123300092268,0.00613314382429175,0.00730488867115842,0.00780095250830737,0.00670840147835428,0.00370374181435751,-0.000421918951891809,-0.00486540164044513,-0.00800042614353746,-0.00891435238108984,-0.00801698010710272,-0.00584359140974977,-0.00274394624365648,0.0000997160777584938,0.00178042271755108,0.00232498974140216,0.0020298666147891,0.00105479075055248,0.000142487081653764,0.000122379854958998,0.000229339852442667,0.000628665648671589,0.0014273877389166,0.00172141716458185,0.00119862705698481,0.000994374220134597,0.00080417759562823,0.000538678300858075
32,"ARG","Argentina",-0.000944804627972529,-0.000954495504531194,-0.000888375446969958,-0.000995259461518572,-0.000971606677920289,-0.000805025390482661,-0.000595266748743439,-0.000433691868153674,-0.00023521296690987,-0.000112972146272039,-0.0000550239174418321,-0.00021458788302231,-0.000444887883941814,-0.000684021120826328,-0.00085547569445743,-0.000799859246857881,-0.000548347242138592,-0.000263136801341157,0.0000188554776447969,0.000205787608295704,0.000187136913615493,-0.0000494094007413848,-0.000267254028987418,-0.000463534847291003,-0.000638247371925083,-0.0006995146706954,-0.000681941162728461,-0.000609363657865569,-0.000548526127902127,-0.000468616331383731,-0.000385237680163741
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",-0.00735620924250346,-0.0065579990421164,-0.00561533475246223,-0.00640881617311739,-0.00703208019279788,-0.0094424647159127,-0.0110106060255341,-0.0126209382896284,-0.0137217757365112,-0.0142203730972357,-0.0125228638407242,-0.0112746684635616,-0.00942072892700163,-0.00719052269333564,-0.00509262863028193,-0.00621841014126745,-0.00569064369789019,-0.00440929051910988,-0.0032534512473249,-0.00146732138305439,0.00427091311212724,0.00839864282651281,0.010204452521541,0.0125763616020127,0.0139957261069648,0.0127513080816739,0.0110306167546939,0.0102280565047514,0.00825570445494916,0.00562586737276694,0.00539914844220646
