"code","iso","country","WWT.raw.2015","WWT.raw.2016","WWT.raw.2017","WWT.raw.2018","WWT.raw.2019","WWT.raw.2020","WWT.raw.2021","WWT.raw.2022","WWT.raw.2023","WWT.raw.2024"
4,"AFG","Afghanistan",0,NA,NA,NA,NA,NA,NA,NA,NA,6.056743145
8,"ALB","Albania",33.4,NA,NA,NA,NA,NA,NA,19.46665955,NA,12.72300529
12,"DZA","Algeria",41.7,NA,NA,NA,NA,NA,NA,76.18772888,NA,76.20021057
20,"AND","Andorra",100,NA,NA,NA,NA,NA,NA,100,NA,100
24,"AGO","Angola",4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",11.8,NA,NA,NA,NA,NA,NA,36.48806763,NA,23.60534859
51,"ARM","Armenia",14.6,NA,NA,NA,NA,NA,NA,0.5625,NA,0.556375623
533,"ABW","Aruba",65.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",92.9,NA,NA,NA,NA,NA,NA,95.81960297,NA,95.77098846
40,"AUT","Austria",100,NA,NA,NA,NA,NA,NA,98.20522308,NA,95.81809998
31,"AZE","Azerbaijan",38.09,NA,NA,NA,NA,NA,NA,41.33968735,NA,37.43198013
44,"BHS","Bahamas",63,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",64.9,NA,NA,NA,NA,NA,NA,93.27165222,NA,94.11875916
50,"BGD","Bangladesh",2,NA,NA,NA,NA,NA,NA,17.5205307,NA,16.34177971
52,"BRB","Barbados",48.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",62.8,NA,NA,NA,NA,NA,NA,80.31443024,NA,83.31433868
56,"BEL","Belgium",78.2,NA,NA,NA,NA,NA,NA,85.06780243,NA,85.36613464
84,"BLZ","Belize",31.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",0,NA,NA,NA,NA,NA,NA,1.409315586,NA,6.687398911
60,"BMU","Bermuda",93.41,NA,NA,NA,NA,NA,NA,1.501752019,NA,1.5
64,"BTN","Bhutan",14.36,NA,NA,NA,NA,NA,NA,39.61262512,NA,48.76371002
68,"BOL","Bolivia",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",31.3,NA,NA,NA,NA,NA,NA,65.30532074,NA,65.30693817
72,"BWA","Botswana",36,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",40.8,NA,NA,NA,NA,NA,NA,43.40779114,NA,NA
92,"VGB","British Virgin Islands",70.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",68.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"BGR","Bulgaria",54.6,NA,NA,NA,NA,NA,NA,72.08776855,NA,74.64386749
854,"BFA","Burkina Faso",2,NA,NA,NA,NA,NA,NA,2.776229143,NA,2.144237041
108,"BDI","Burundi",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",16.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",0,NA,NA,NA,NA,NA,NA,46.79142761,NA,NA
120,"CMR","Cameroon",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",68,NA,NA,NA,NA,NA,NA,68.89015961,NA,68.29610443
136,"CYM","Cayman Islands",88.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",0,NA,NA,NA,NA,NA,NA,2.315779209,NA,2.348043919
152,"CHL","Chile",84,NA,NA,NA,NA,NA,NA,89.10071564,NA,87.88771057
156,"CHN","China",49,NA,NA,NA,NA,NA,NA,61.67234802,NA,64.02632141
170,"COL","Colombia",11.3,NA,NA,NA,NA,NA,NA,18.77196884,NA,17.20656776
174,"COM","Comoros",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",15.2,NA,NA,NA,NA,NA,NA,25.43293571,NA,24.08607292
384,"CIV","Cote d'Ivoire",0,NA,NA,NA,NA,NA,NA,16.80625534,NA,18.46506882
191,"HRV","Croatia",20.6,NA,NA,NA,NA,NA,NA,33.97194672,NA,34.27618408
192,"CUB","Cuba",24.6,NA,NA,NA,NA,NA,NA,34.03637314,NA,32.60935974
531,"CUW","Curacao",61.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",62.5,NA,NA,NA,NA,NA,NA,72.63455963,NA,72.71961975
203,"CZE","Czechia",96.8,NA,NA,NA,NA,NA,NA,91.28707886,NA,91.45469666
180,"COD","Dem. Rep. Congo",0,NA,NA,NA,NA,NA,NA,15.53206825,NA,15.77808475
208,"DNK","Denmark",69.3,NA,NA,NA,NA,NA,NA,98.79153442,NA,98.96604156
262,"DJI","Djibouti",3.18,NA,NA,NA,NA,NA,NA,11.13740158,NA,11.06700706
212,"DMA","Dominica",39.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,"DOM","Dominican Republic",9.7,NA,NA,NA,NA,NA,NA,39.55860519,NA,34.62879562
218,"ECU","Ecuador",36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
818,"EGY","Egypt",56.7,NA,NA,NA,NA,NA,NA,73.84403992,NA,62.60671616
222,"SLV","El Salvador",2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,"GNQ","Equatorial Guinea",31.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,"ERI","Eritrea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,"EST","Estonia",36,NA,NA,NA,NA,NA,NA,92.27909851,NA,91.69114685
748,"SWZ","Eswatini",6.41,NA,NA,NA,NA,NA,NA,17.46899414,NA,16.95441818
231,"ETH","Ethiopia",0,NA,NA,NA,NA,NA,NA,3.035514116,NA,2.959531069
234,"FRO","Faeroe Islands",74.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",36.03,NA,NA,NA,NA,NA,NA,39.79051971,NA,39.87807846
246,"FIN","Finland",72.6,NA,NA,NA,NA,NA,NA,89.73806763,NA,89.52640533
250,"FRA","France",80.3,NA,NA,NA,NA,NA,NA,87.9442215,NA,86.74834442
258,"PYF","French Polynesia",50.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",35.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,"GMB","Gambia",0,NA,NA,NA,NA,NA,NA,10.54699612,NA,10.53283882
268,"GEO","Georgia",34.48,NA,NA,NA,NA,NA,NA,48.76444626,NA,50.23989487
276,"DEU","Germany",97,NA,NA,NA,NA,NA,NA,98.96163177,NA,99.12252045
288,"GHA","Ghana",6.3,NA,NA,NA,NA,NA,NA,11.81821918,NA,15.5425539
300,"GRC","Greece",78.1,NA,NA,NA,NA,NA,NA,89.68182373,NA,92.10958099
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,0,NA,0
308,"GRD","Grenada",44.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,"GTM","Guatemala",23.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
624,"GNB","Guinea-Bissau",0,NA,NA,NA,NA,NA,NA,19.11757469,NA,20.00116348
328,"GUY","Guyana",20.28,NA,NA,NA,NA,NA,NA,32.47575378,NA,33.40572357
332,"HTI","Haiti",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",19.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,"HKG","Hong Kong",74.96,NA,NA,NA,NA,NA,NA,91.12023926,NA,93.19579315
348,"HUN","Hungary",96,NA,NA,NA,NA,NA,NA,82.05249786,NA,72.23852539
352,"ISL","Iceland",79.65,NA,NA,NA,NA,NA,NA,3.046087027,NA,1.634699464
356,"IND","India",19.2,NA,NA,NA,NA,NA,NA,20.71492577,NA,28.83443451
360,"IDN","Indonesia",29.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,"IRN","Iran",21.75,NA,NA,NA,NA,NA,NA,25.22955894,NA,26.38572121
368,"IRQ","Iraq",28.2,NA,NA,NA,NA,NA,NA,41.95675659,NA,41.81370544
372,"IRL","Ireland",94.3,NA,NA,NA,NA,NA,NA,51.73236465,NA,50.78858948
833,"IMN","Isle of Man",81.62,NA,NA,NA,NA,NA,NA,84.90541077,NA,84.82142639
376,"ISR","Israel",92.3,NA,NA,NA,NA,NA,NA,97.34565735,NA,94.95087433
380,"ITA","Italy",82.6,NA,NA,NA,NA,NA,NA,70.22106934,NA,70.67745972
388,"JAM","Jamaica",33.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,"JPN","Japan",70.7,NA,NA,NA,NA,NA,NA,91.66891479,NA,98.57751465
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",62.1,NA,NA,NA,NA,NA,NA,76.83360291,NA,77.42380524
398,"KAZ","Kazakhstan",48.87,NA,NA,NA,NA,NA,NA,36.33563995,NA,30.29705429
404,"KEN","Kenya",0,NA,NA,NA,NA,NA,NA,11.36145592,NA,11.17656326
296,"KIR","Kiribati",6.32,NA,NA,NA,NA,NA,NA,33.23130035,NA,32.90410995
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",88.7,NA,NA,NA,NA,NA,NA,100,NA,100
417,"KGZ","Kyrgyzstan",8.67,NA,NA,NA,NA,NA,NA,19.00883102,NA,21.86356926
418,"LAO","Laos",11.78,NA,NA,NA,NA,NA,NA,10.24686813,NA,10.29782867
428,"LVA","Latvia",59,NA,NA,NA,NA,NA,NA,87.42035675,NA,96.45935822
422,"LBN","Lebanon",42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,"LSO","Lesotho",0,NA,NA,NA,NA,NA,NA,NA,NA,3.012597561
430,"LBR","Liberia",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,"LBY","Libya",20.26,NA,NA,NA,NA,NA,NA,14.41312504,NA,NA
438,"LIE","Liechtenstein",74.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",75.9,NA,NA,NA,NA,NA,NA,96.75080872,NA,95.83541107
442,"LUX","Luxembourg",87.8,NA,NA,NA,NA,NA,NA,98.63204193,NA,98.81918335
446,"MAC","Macao",85.62,NA,NA,NA,NA,NA,NA,65.30953979,NA,85.18728638
450,"MDG","Madagascar",0,NA,NA,NA,NA,NA,NA,10.78687954,NA,10.94676018
454,"MWI","Malawi",0,NA,NA,NA,NA,NA,NA,6.330949306,NA,6.435644627
458,"MYS","Malaysia",22.9,NA,NA,NA,NA,NA,NA,89.31611633,NA,90.60617828
462,"MDV","Maldives",37.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"MLI","Mali",0,NA,NA,NA,NA,NA,NA,6.121931553,NA,6.265712261
470,"MLT","Malta",100,NA,NA,NA,NA,NA,NA,1.076956511,NA,7.039660454
584,"MHL","Marshall Islands",30.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,"MRT","Mauritania",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,"MUS","Mauritius",40.9,NA,NA,NA,NA,NA,NA,19.05670166,NA,26.92946434
484,"MEX","Mexico",43.4,NA,NA,NA,NA,NA,NA,64.34873199,NA,64.11196899
583,"FSM","Micronesia",16.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,"MDA","Moldova",16.6,NA,NA,NA,NA,NA,NA,46.16069794,NA,41.42943573
492,"MCO","Monaco",99.69,NA,NA,NA,NA,NA,NA,96.76617432,NA,93.89298248
496,"MNG","Mongolia",36.88,NA,NA,NA,NA,NA,NA,26.14390373,NA,53.15664291
499,"MNE","Montenegro",30.6,NA,NA,NA,NA,NA,NA,55.27941513,NA,31.07913017
504,"MAR","Morocco",38,NA,NA,NA,NA,NA,NA,44.62698364,NA,75.3314743
508,"MOZ","Mozambique",0,NA,NA,NA,NA,NA,NA,NA,NA,21.66843605
104,"MMR","Myanmar",0,NA,NA,NA,NA,NA,NA,15.12370872,NA,15.18865585
516,"NAM","Namibia",20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,"NRU","Nauru",43.22,NA,NA,NA,NA,NA,NA,NA,NA,35.51222992
524,"NPL","Nepal",0,NA,NA,NA,NA,NA,NA,38.59770584,NA,29.58116531
528,"NLD","Netherlands",97,NA,NA,NA,NA,NA,NA,99.79000092,NA,99.80847168
540,"NCL","New Caledonia",61.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",61.8,NA,NA,NA,NA,NA,NA,84.47699738,NA,84.53193665
558,"NIC","Nicaragua",33.3,NA,NA,NA,NA,NA,NA,31.8045826,NA,NA
562,"NER","Niger",0,NA,NA,NA,NA,NA,NA,8.632699966,NA,6.838807106
566,"NGA","Nigeria",3.4,NA,NA,NA,NA,NA,NA,41.29954529,NA,40.66710663
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",28.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"MKD","North Macedonia",33.66,NA,NA,NA,NA,NA,NA,4.862529755,NA,4.863628387
578,"NOR","Norway",76.1,NA,NA,NA,NA,NA,NA,75.81465912,NA,73.95063782
512,"OMN","Oman",33.07,NA,NA,100,100,100,100,100.023404845312,100,100
586,"PAK","Pakistan",7.9,NA,NA,NA,NA,NA,NA,38.109478,NA,NA
585,"PLW","Palau",55.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,"PAN","Panama",53.3967568919764,55.1298073667184,55.4332162735314,55.3272014260519,55.72445180105,54.6777362910128,54.3990222069446,NA,NA,NA
598,"PNG","Papua New Guinea",0,NA,NA,NA,NA,NA,NA,5.064795971,NA,7.294061184
600,"PRY","Paraguay",4.8,NA,NA,NA,NA,NA,NA,25.14752197,NA,27.35703087
604,"PER","Peru",56.3,NA,NA,NA,NA,NA,NA,48.65280151,NA,52.42102814
608,"PHL","Philippines",2.8,NA,NA,NA,NA,NA,NA,66.58663177,NA,68.04774475
616,"POL","Poland",67.4,NA,NA,NA,NA,NA,NA,77.37506104,NA,79.25460052
620,"PRT","Portugal",76.8,NA,NA,NA,NA,NA,NA,87.51369476,NA,85.33273315
634,"QAT","Qatar",89.3,NA,NA,NA,NA,NA,NA,99.94832611,NA,99.94572449
