"code","iso","country","GE5.raw.2020","GE5.raw.2021","GE5.raw.2022","GE5.raw.2023","GE5.raw.2024"
4,"AFG","Afghanistan",22269.9566864558,23478.3942731664,20893.7215606555,16822.1297674909,18811.7345846213
8,"ALB","Albania",4487.8483704932,4932.2962398544,5623.3925028652,5824.47253812328,4636.61420973986
12,"DZA","Algeria",8342.3943451494,9374.95676761195,8732.601661966,6674.91700611785,7877.83774512112
20,"AND","Andorra",12.2718266777694,22.464670355618,24.7905479431152,27.1507483683527,37.1855770297349
24,"AGO","Angola",209450.404772383,221739.873668055,219749.66050228,206709.999843639,234343.980040231
660,"AIA","Anguilla",NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",42.250255638361,91.8940656796098,111.405958268046,112.104382811487,109.489749903977
32,"ARG","Argentina",336179.027652717,410092.515461451,422571.520676526,437490.310474569,550444.3964937
51,"ARM","Armenia",15377.7316340156,18026.9099873915,18901.7084758148,18554.3483596027,19532.3358499676
533,"ABW","Aruba",25.5971308097243,26.0328230246902,26.4387079894543,32.0150684073567,43.874375320971
36,"AUS","Australia",532609.329169332,658562.37135665,750763.846803949,755573.98644482,727520.943231037
40,"AUT","Austria",3809.97895676792,5418.06175036207,5379.96571582034,5119.70201265812,5239.76350645348
31,"AZE","Azerbaijan",12702.3268870719,15412.6634173371,16627.7795448072,17894.145469521,18439.976749929
44,"BHS","Bahamas",1082.46133572608,1211.63327095658,1189.06009419411,1086.8388030678,1037.86209855229
48,"BHR","Bahrain",9.70896343290806,9.23802342861891,8.96090198904276,8.24057615846396,7.65858178734779
50,"BGD","Bangladesh",9.68606057316065,6.97495895028114,7.25000101774931,6.63957592993975,6.86988376528025
52,"BRB","Barbados",23.8289869204164,29.2282946437597,24.5491485729814,22.9445651531219,23.3943992584944
112,"BLR","Belarus",NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA
84,"BLZ","Belize",433.124275976419,481.69781434387,639.304756706953,625.763877220452,584.729265597463
204,"BEN","Benin",20541.090801625,21081.2468314111,20294.0153809771,19993.0134088039,21283.440802516
60,"BMU","Bermuda",NA,NA,NA,NA,NA
64,"BTN","Bhutan",556.480728140473,561.400814343989,566.590882463753,563.052783437073,644.516143734753
68,"BOL","Bolivia",231246.826635848,219389.811565231,188058.786483139,145906.152864708,163551.661233962
70,"BIH","Bosnia and Herzegovina",12209.7852512687,14386.0412367582,16412.0148229353,20661.858699131,19050.4415432297
72,"BWA","Botswana",20767.9843979076,23597.4566582814,21873.2874511212,21853.4090401545,30330.4969305187
76,"BRA","Brazil",914643.815296273,957193.909685919,940554.746744075,916413.81753141,933234.108661687
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA
100,"BGR","Bulgaria",4121.21223171577,4648.95012736172,4676.43751031682,4576.68596945479,4386.64815789089
854,"BFA","Burkina Faso",654492.407672842,659778.55052276,579881.616594262,432537.49680225,434649.897560683
108,"BDI","Burundi",183.789552024007,195.412541899085,185.128345842659,179.99205365628,172.516443684697
132,"CPV","Cabo Verde",734.802452364564,851.976175314188,776.690889063477,713.737835505605,729.697126793861
116,"KHM","Cambodia",1037.37818512022,1269.74169287831,1528.83469290584,1639.29021706283,1693.08342239857
120,"CMR","Cameroon",107455.793243654,105871.292652306,99575.4720503673,86618.7943362817,89927.5528554052
124,"CAN","Canada",447717.731586027,467473.393533162,490421.150963024,566100.564218458,598294.396344628
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA
140,"CAF","Central African Republic",8191.55843743384,8863.42739744335,8796.06901519597,7372.16711989939,6767.55452170372
148,"TCD","Chad",240105.136298813,248595.254329847,236491.340335006,208639.807280126,205077.179665424
152,"CHL","Chile",36289.0113914996,36958.3702088147,33333.5541388921,32735.8059524454,38682.4969444185
156,"CHN","China",423504.724483135,513070.349210093,484313.697775127,456653.20226251,592882.462206129
170,"COL","Colombia",218262.466416445,207271.274987221,206469.510808367,204319.32724877,205353.515547675
174,"COM","Comoros",43.2162575647235,46.8347276568413,46.7455819278955,44.0637525394559,42.20967515558
184,"COK","Cook Islands",NA,NA,NA,NA,NA
188,"CRI","Costa Rica",214.327298396826,188.44821266979,181.013325463235,187.368606635928,160.56314509362
384,"CIV","Cote d'Ivoire",9337.71743399799,9552.50269821733,10643.0773484051,11054.4992793888,12808.1107728153
191,"HRV","Croatia",1400.4852318354,1492.43036588132,1944.20329030156,2055.47849875018,1771.51803777367
192,"CUB","Cuba",1254.06421780586,1349.93652655184,1282.08810414225,1231.55394919664,1109.29612661153
531,"CUW","Curacao",190.930240228772,196.872734574974,212.778751434386,234.464313335717,187.449248741567
196,"CYP","Cyprus",86.4278079032898,82.8428641662002,63.5049997210503,29.7559953972697,15.7317543774843
203,"CZE","Czechia",117.730477833748,142.469594053924,149.723909516633,142.906506688893,111.623689610511
180,"COD","Dem. Rep. Congo",217325.721881962,199701.15045253,181306.820595612,168962.871349646,174862.015531695
208,"DNK","Denmark",20.4138951800764,17.9231993317604,20.487044442445,29.884503994137,34.7216917403042
262,"DJI","Djibouti",173.862513747811,180.51778049618,200.267335732281,210.341093556583,189.839046363533
212,"DMA","Dominica",NA,NA,NA,NA,NA
214,"DOM","Dominican Republic",316.984360891581,316.432763060927,289.415601240098,284.247842822969,337.571401584148
218,"ECU","Ecuador",12919.2378852099,12883.3665160328,11623.1271282613,10645.1908412814,11456.6727833614
818,"EGY","Egypt",3436.54890571237,2919.70429275185,2062.86317944527,1303.31207208335,658.407286712527
222,"SLV","El Salvador",200.717208880186,209.627962189913,193.177560214698,165.280208532512,167.016123338044
226,"GNQ","Equatorial Guinea",10.490386390686,10.3982115611434,9.04446035772562,8.16758841872215,8.18272037953138
232,"ERI","Eritrea",12528.6174843624,14427.8138068557,15269.539922376,15439.565607962,17493.9212802604
